count_of_flights,month,arrive_or_depart,terminal
855,1,D,2
1194,2,A,3
1294,2,A,2
14365,3,D,4
1324,4,A,3
1305,5,D,3
1076,9,D,3
12762,10,D,4
8750,1,A,4
11993,2,A,4
1474,4,D,2
13475,5,A,4
1268,6,A,3
1267,6,D,3
1265,8,D,3
1312,10,D,2
8699,1,D,4
1474,4,A,2
1374,5,A,2
14094,7,A,4
1270,7,A,3
13374,8,A,4
11771,9,D,4
1194,2,D,3
1445,3,D,3
1574,3,D,2
13423,4,A,4
1332,4,D,3
13310,6,D,4
1173,6,A,2
798,1,A,3
793,1,D,3
859,1,A,2
1371,5,D,2
11778,9,A,4
1096,9,A,3
1169,9,D,2
4,1,D,
1290,2,D,2
1443,3,A,3
1319,8,A,2
1240,8,A,3
1392,10,A,2
11985,2,D,4
14376,3,A,4
1573,3,A,2
13418,4,D,4
1304,5,A,3
1180,6,D,2
1154,7,A,2
1149,7,D,2
7,7,A,1
13330,8,D,4
1182,10,D,3
1174,10,A,3
3,1,A,
13454,5,D,4
13332,6,A,4
14082,7,D,4
1271,7,D,3
1285,8,D,2
1172,9,A,2
12834,10,A,4
