arrive_or_depart,schedule,airline,flight_number,gate,terminal
D,2018-04-01T18:30:00,Delta Air Lines,5744,15,3
A,2018-04-01T18:31:00,United Airlines,1811,3,2
A,2018-04-01T18:34:00,American Airlines,779,A26,4
D,2018-04-01T18:35:00,Southwest Airlines,3048,D5,4
D,2018-04-01T18:35:00,Southwest Airlines,3240,D7,4
A,2018-04-01T18:35:00,Southwest Airlines,3663,C17,4
D,2018-04-01T18:35:00,Delta Air Lines,5768,18,3
D,2018-04-01T18:35:00,Sun Country Airlines,696,1,2
D,2018-04-01T18:37:00,Spirit Airlines,1168,2,2
A,2018-04-01T18:37:00,WestJet,1464,B21,4
D,2018-04-01T18:40:00,Southwest Airlines,3439,D1,4
D,2018-04-01T18:40:00,Southwest Airlines,4407,C7,4
D,2018-04-01T18:40:00,Southwest Airlines,4811,D8,4
D,2018-04-01T18:40:00,Southwest Airlines,4831,D2,4
D,2018-04-01T18:40:00,Southwest Airlines,4997,C11,4
A,2018-04-01T18:40:00,Air Canada,1838,B27,4
A,2018-04-01T18:40:00,American Airlines,1779,B23,4
D,2018-04-01T18:40:00,American Airlines,853,A12,4
D,2018-04-01T18:40:00,American Airlines,814,A14,4
D,2018-04-01T18:43:00,American Airlines,5952,B5,4
D,2018-04-01T18:43:00,United Airlines,1882,7,2
D,2018-04-01T18:44:00,Delta Air Lines,2946,17,3
D,2018-04-01T18:45:00,Southwest Airlines,3477,D6,4
D,2018-04-01T18:45:00,Southwest Airlines,3562,C3,4
D,2018-04-01T18:45:00,Southwest Airlines,4865,C8,4
A,2018-04-01T18:45:00,Southwest Airlines,3322,C9,4
D,2018-04-01T18:45:00,American Airlines,1804,B10,4
D,2018-04-01T18:46:00,American Airlines,5950,B18,4
A,2018-04-01T18:48:00,American Airlines,441,B26,4
D,2018-04-01T18:48:00,United Airlines,5632,5,2
D,2018-04-01T18:50:00,Southwest Airlines,3376,C6,4
A,2018-04-01T18:50:00,Southwest Airlines,4332,D4,4
D,2018-04-01T18:50:00,American Airlines,448,A18,4
D,2018-04-01T18:50:00,American Airlines,5868,B1,4
D,2018-04-01T18:50:00,American Airlines,440,B14,4
D,2018-04-01T18:50:00,American Airlines,3050,B1A,4
D,2018-04-01T18:51:00,American Airlines,615,A23,4
A,2018-04-01T18:52:00,American Airlines,5958,B15A,4
