arrive_or_depart,schedule,airline,flightnumber,gate,terminal
A,2015-08-01T00:05:00,Southwest Airlines,2689,C18,4
A,2015-08-01T00:25:00,Southwest Airlines,298,C1,4
A,2015-08-01T00:30:00,Southwest Airlines,1721,C3,4
A,2015-08-01T00:30:00,Southwest Airlines,361,D7,4
D,2015-08-01T00:35:00,US Airways,771,A30,4
A,2015-08-01T00:40:00,Southwest Airlines,825,C7,4
D,2015-08-01T00:50:00,US Airways,1746,A14,4
D,2015-08-01T00:55:00,Spirit Airlines,972,2,2
D,2015-08-01T00:59:00,American Airlines,2216,B6,4
D,2015-08-01T01:10:00,US Airways,840,A3,4
D,2015-08-01T05:00:00,American Airlines,1388,B11,4
D,2015-08-01T05:00:00,United Airlines,1426,7,2
D,2015-08-01T05:02:00,Frontier Airlines,748,20,3
D,2015-08-01T05:05:00,US Airways,767,A7,4
D,2015-08-01T05:35:00,Southwest Airlines,4266,C7,4
D,2015-08-01T05:35:00,American Airlines,2380,B14,4
D,2015-08-01T05:45:00,Southwest Airlines,2900,C4,4
D,2015-08-01T05:55:00,Delta Air Lines,1994,15,3
D,2015-08-01T05:55:00,Delta Air Lines,846,23,3
D,2015-08-01T06:00:00,Southwest Airlines,3455,C19,4
D,2015-08-01T06:00:00,American Eagle,5893,B9,4
D,2015-08-01T06:00:00,Southwest Airlines,4509,C6,4
D,2015-08-01T06:00:00,United Airlines,250,5,2
D,2015-08-01T06:00:00,United Airlines,1252,8,2
D,2015-08-01T06:00:00,Alaska Airlines,631,11,2
D,2015-08-01T06:00:00,Southwest Airlines,4245,D1,4
D,2015-08-01T06:10:00,United Express,6534,3,2
A,2015-08-01T06:10:00,US Airways,690,A6,4
D,2015-08-01T06:10:00,Southwest Airlines,3160,C2,4
A,2015-08-01T06:20:00,US Airways,693,A13,4
A,2015-08-01T06:24:00,US Airways Express,5605,B16,4
D,2015-08-01T06:25:00,Delta Air Lines,2202,18,3
D,2015-08-01T06:25:00,American Airlines,48,B13,4
D,2015-08-01T06:30:00,US Airways,1810,A11,4
D,2015-08-01T06:30:00,Southwest Airlines,1768,D8,4
A,2015-08-01T06:31:00,US Airways,591,A19,4
A,2015-08-01T06:33:00,US Airways Express,5613,B20,4
A,2015-08-01T06:35:00,US Airways,455,A30,4
A,2015-08-01T06:38:00,US Airways Express,2988,B18,4
A,2015-08-01T06:39:00,American Eagle,5743,B9,4
A,2015-08-01T06:39:00,US Airways,602,A3,4
A,2015-08-01T06:41:00,US Airways,438,A5,4
A,2015-08-01T06:41:00,US Airways,403,B2,4
A,2015-08-01T06:42:00,US Airways Express,2978,B17,4
A,2015-08-01T06:43:00,US Airways,452,A7,4
