arrive_or_depart,schedule,airline,flight_number,gate,terminal
D,2018-08-01T07:25:00,Southwest Airlines,673,C19,4
D,2018-08-01T07:30:00,Hawaiian Airlines,35,24,3
D,2018-08-01T07:30:00,Southwest Airlines,2116,C13,4
D,2018-08-01T07:30:00,Delta Air Lines,5807,17,3
A,2018-08-01T07:30:00,American Airlines,767,A23,4
A,2018-08-01T07:31:00,American Airlines,664,A20,4
D,2018-08-01T07:35:00,Southwest Airlines,2391,D3,4
D,2018-08-01T07:35:00,American Airlines,1765,A5,4
D,2018-08-01T07:35:00,American Airlines,438,A22,4
D,2018-08-01T07:35:00,American Airlines,5802,B18,4
A,2018-08-01T07:35:00,Southwest Airlines,2156,D7,4
D,2018-08-01T07:38:00,American Airlines,452,A11,4
D,2018-08-01T07:38:00,American Airlines,5850,B17,4
A,2018-08-01T07:38:00,American Airlines,854,A18,4
A,2018-08-01T07:38:00,American Airlines,3038,B1A,4
A,2018-08-01T07:39:00,American Airlines,1513,A25,4
A,2018-08-01T07:39:00,American Airlines,2658,B4,4
D,2018-08-01T07:40:00,American Airlines,1880,B8,4
D,2018-08-01T07:40:00,American Airlines,5743,B3,4
A,2018-08-01T07:40:00,Southwest Airlines,2306,D2,4
A,2018-08-01T07:40:00,Southwest Airlines,1852,C11,4
A,2018-08-01T07:41:00,American Airlines,1065,A14,4
D,2018-08-01T07:42:00,American Airlines,3142,A1,4
A,2018-08-01T07:42:00,American Airlines,5923,B17,4
D,2018-08-01T07:45:00,Southwest Airlines,1445,D1,4
D,2018-08-01T07:45:00,Southwest Airlines,1463,C9,4
D,2018-08-01T07:45:00,Southwest Airlines,2457,C1,4
D,2018-08-01T07:45:00,Southwest Airlines,2533,C4,4
D,2018-08-01T07:45:00,American Airlines,5867,B5,4
A,2018-08-01T07:45:00,American Airlines,5777,B22,4
D,2018-08-01T07:47:00,American Airlines,486,A13,4
A,2018-08-01T07:49:00,American Airlines,625,A13,4
A,2018-08-01T07:49:00,American Airlines,765,B7,4
D,2018-08-01T07:50:00,Southwest Airlines,504,C8,4
D,2018-08-01T07:50:00,Southwest Airlines,2436,C7,4
D,2018-08-01T07:50:00,American Airlines,711,A14,4
D,2018-08-01T07:50:00,United Airlines,656,6A,2
A,2018-08-01T07:50:00,American Airlines,675,B28,4
A,2018-08-01T07:50:00,American Airlines,5721,B22,4
A,2018-08-01T07:52:00,American Airlines,3251,A1,4
A,2018-08-01T07:52:00,American Airlines,2974,B3,4
A,2018-08-01T07:54:00,American Airlines,5994,B18,4
A,2018-08-01T07:54:00,American Airlines,459,B13,4
A,2018-08-01T07:55:00,American Airlines,5813,B21,4
A,2018-08-01T07:56:00,American Airlines,1867,A7,4
A,2018-08-01T07:57:00,American Airlines,516,A9,4
A,2018-08-01T07:57:00,American Airlines,3103,B1,4
A,2018-08-01T07:58:00,American Airlines,2042,A3,4
A,2018-08-01T07:59:00,American Airlines,3132,B15B,4
D,2018-08-01T08:00:00,Southwest Airlines,448,C17,4
D,2018-08-01T08:00:00,Southwest Airlines,1530,C3,4
D,2018-08-01T08:00:00,Southwest Airlines,1555,D6,4
D,2018-08-01T08:05:00,Southwest Airlines,1571,C18,4
A,2018-08-01T08:06:00,United Airlines,581,7,2
D,2018-08-01T08:10:00,Southwest Airlines,2156,D7,4
A,2018-08-01T08:13:00,American Airlines,201,B11,4
A,2018-08-01T08:15:00,United Airlines,368,3,2
A,2018-08-01T08:15:00,American Airlines,5928,B16,4
D,2018-08-01T08:20:00,Southwest Airlines,2234,C14,4
