arrive_or_depart,schedule,airline,flight_number,gate,terminal
D,2018-12-01T00:30:00,Air Canada,1834,B27,4
D,2018-12-01T07:30:00,Hawaiian Airlines,35,24,3
D,2018-12-01T08:00:00,WestJet,1499,B23,4
D,2018-12-01T08:20:00,Air Canada,1055,B25,4
D,2018-12-01T05:38:00,Frontier Airlines,758,20,3
D,2018-12-01T07:25:00,Frontier Airlines,2340,25,3
A,2018-12-01T00:05:00,Southwest Airlines,2214,D4,4
A,2018-12-01T00:10:00,Southwest Airlines,1146,D1,4
D,2018-12-01T00:35:00,Delta Air Lines,1128,17,3
D,2018-12-01T00:45:00,American Airlines,2651,A13,4
D,2018-12-01T00:45:00,United Airlines,1023,6B,2
D,2018-12-01T01:06:00,American Airlines,1542,A9,4
A,2018-12-01T01:06:00,Spirit Airlines,971,2,2
D,2018-12-01T01:10:00,American Airlines,2054,A18,4
D,2018-12-01T01:36:00,American Airlines,447,A19,4
D,2018-12-01T01:56:00,Spirit Airlines,972,2,2
D,2018-12-01T05:24:00,United Airlines,1062,6A,2
D,2018-12-01T06:00:00,American Airlines,507,A27,4
D,2018-12-01T06:05:00,United Airlines,5326,8,2
D,2018-12-01T06:15:00,American Airlines,2765,B14,4
D,2018-12-01T06:15:00,Alaska Airlines,637,10,2
D,2018-12-01T06:20:00,American Airlines,1153,A21,4
D,2018-12-01T06:20:00,United Airlines,2350,7,2
D,2018-12-01T06:30:00,Southwest Airlines,3830,C11,4
D,2018-12-01T06:38:00,United Airlines,1600,5,2
D,2018-12-01T06:45:00,Southwest Airlines,3841,D2,4
D,2018-12-01T06:55:00,Delta Air Lines,1994,15,3
D,2018-12-01T06:55:00,Southwest Airlines,3767,C7,4
D,2018-12-01T07:00:00,American Airlines,3196,A1,4
D,2018-12-01T07:00:00,American Airlines,5836,B2,4
D,2018-12-01T07:00:00,Delta Air Lines,2162,17,3
D,2018-12-01T07:00:00,United Airlines,1774,6B,2
D,2018-12-01T07:00:00,Southwest Airlines,1410,C9,4
D,2018-12-01T07:10:00,Southwest Airlines,3864,C14,4
D,2018-12-01T07:15:00,Delta Air Lines,5725,18,3
D,2018-12-01T07:15:00,United Airlines,1755,7,2
D,2018-12-01T07:15:00,Southwest Airlines,3872,C2,4
D,2018-12-01T07:30:00,American Airlines,567,A23,4
D,2018-12-01T07:30:00,Alaska Airlines,959,11,2
D,2018-12-01T07:30:00,Delta Air Lines,1668,16,3
D,2018-12-01T07:30:00,Southwest Airlines,3853,D8,4
D,2018-12-01T07:45:00,American Airlines,407,A6,4
D,2018-12-01T07:50:00,American Airlines,646,A18,4
D,2018-12-01T08:00:00,American Airlines,601,A5,4
D,2018-12-01T08:00:00,Delta Air Lines,2281,15,3
D,2018-12-01T08:10:00,Southwest Airlines,4738,C6,4
D,2018-12-01T08:15:00,Delta Air Lines,1262,18,3
D,2018-12-01T08:15:00,Southwest Airlines,1405,D5,4
D,2018-12-01T08:20:00,American Airlines,5796,B22,4
D,2018-12-01T08:21:00,American Airlines,445,A11,4
D,2018-12-01T08:22:00,American Airlines,5743,B21,4
D,2018-12-01T08:25:00,Southwest Airlines,3857,C8,4
A,2018-12-01T08:27:00,Frontier Airlines,1869,CX,3
D,2018-12-01T08:30:00,American Airlines,1880,A13,4
D,2018-12-01T08:30:00,Southwest Airlines,3469,C18,4
D,2018-12-01T08:30:00,Southwest Airlines,3840,D7,4
D,2018-12-01T08:30:00,Southwest Airlines,3873,D3,4
D,2018-12-01T08:30:00,Southwest Airlines,3884,C13,4
D,2018-12-01T08:30:00,Southwest Airlines,3896,C17,4
D,2018-12-01T08:35:00,American Airlines,438,A22,4
D,2018-12-01T08:35:00,Southwest Airlines,3861,C1,4
D,2018-12-01T08:35:00,Southwest Airlines,4593,D1,4
D,2018-12-01T08:37:00,American Airlines,5792,A1,4
D,2018-12-01T08:37:00,United Airlines,248,8,2
D,2018-12-01T08:40:00,American Airlines,1103,B13,4
D,2018-12-01T08:41:00,American Airlines,3142,B17,4
D,2018-12-01T08:45:00,Delta Air Lines,936,17,3
D,2018-12-01T08:51:00,American Airlines,486,B10,4
D,2018-12-01T08:58:00,United Airlines,604,7,2
D,2018-12-01T09:00:00,American Airlines,1765,A27,4
D,2018-12-01T09:00:00,Southwest Airlines,62,C11,4
D,2018-12-01T09:00:00,Southwest Airlines,2983,D5,4
D,2018-12-01T09:05:00,Southwest Airlines,2818,D8,4
D,2018-12-01T09:15:00,Southwest Airlines,2463,C9,4
D,2018-12-01T09:15:00,Southwest Airlines,3852,C19,4
D,2018-12-01T09:17:00,Frontier Airlines,1868,25,3
A,2018-12-01T09:17:00,Frontier Airlines,1863,20,3
D,2018-12-01T09:20:00,Southwest Airlines,3400,C7,4
D,2018-12-01T09:30:00,Southwest Airlines,3113,D1,4
A,2018-12-01T09:30:00,WestJet,1922,B23,4
A,2018-12-01T09:30:00,Contour Airlines,3305,2,2
D,2018-12-01T09:35:00,American Airlines,482,A7,4
D,2018-12-01T09:35:00,American Airlines,1580,B11,4
D,2018-12-01T09:35:00,American Airlines,1959,B8,4
D,2018-12-01T09:38:00,American Airlines,493,A25,4
D,2018-12-01T09:38:00,American Airlines,3041,B20,4
D,2018-12-01T09:40:00,American Airlines,521,B6,4
