arrive_or_depart,schedule,airline,flight_number,gate,terminal
A,2019-02-01T10:55:00,Southwest Airlines,934,CX,4
D,2019-02-01T06:55:00,Southwest Airlines,5299,C9,4
A,2019-02-01T00:09:00,Frontier Airlines,753,F3,3
D,2019-02-01T00:20:00,American Airlines,2651,A7,4
A,2019-02-01T00:57:00,Spirit Airlines,971,2,2
D,2019-02-01T01:07:00,American Airlines,1542,A4,4
D,2019-02-01T01:15:00,American Airlines,291,A13,4
D,2019-02-01T01:36:00,American Airlines,447,A5,4
D,2019-02-01T01:59:00,Spirit Airlines,972,2,2
D,2019-02-01T02:22:00,American Airlines,599,A3,4
D,2019-02-01T05:46:00,Frontier Airlines,752,F3,3
D,2019-02-01T06:00:00,Alaska Airlines,631,10,2
D,2019-02-01T06:02:00,American Airlines,602,A26,4
D,2019-02-01T06:05:00,United Airlines,5326,6B,2
D,2019-02-01T06:05:00,Southwest Airlines,491,C16,4
D,2019-02-01T06:10:00,Southwest Airlines,2212,D1,4
D,2019-02-01T06:15:00,American Airlines,2765,A29,4
D,2019-02-01T06:15:00,Southwest Airlines,377,C18,4
D,2019-02-01T06:15:00,Southwest Airlines,1281,D5,4
D,2019-02-01T06:20:00,American Airlines,1153,A21,4
D,2019-02-01T06:20:00,United Airlines,2278,7,2
D,2019-02-01T06:20:00,Southwest Airlines,947,D2,4
D,2019-02-01T06:26:00,United Airlines,656,3,2
D,2019-02-01T06:35:00,Southwest Airlines,2167,C8,4
D,2019-02-01T06:40:00,Southwest Airlines,342,C11,4
D,2019-02-01T06:40:00,Southwest Airlines,848,D6,4
D,2019-02-01T06:50:00,United Airlines,1774,5,2
D,2019-02-01T06:50:00,Southwest Airlines,1088,C2,4
D,2019-02-01T06:55:00,American Airlines,3196,B7,4
D,2019-02-01T06:55:00,Southwest Airlines,1395,C1,4
D,2019-02-01T07:00:00,American Airlines,5836,B17,4
D,2019-02-01T07:00:00,Alaska Airlines,959,11,2
D,2019-02-01T07:00:00,Southwest Airlines,805,D7,4
D,2019-02-01T07:05:00,Southwest Airlines,569,C7,4
D,2019-02-01T07:10:00,Southwest Airlines,973,C4,4
D,2019-02-01T07:10:00,Southwest Airlines,1912,C14,4
D,2019-02-01T07:15:00,United Airlines,1755,6B,2
D,2019-02-01T07:15:00,Southwest Airlines,245,C3,4
D,2019-02-01T07:25:00,Southwest Airlines,931,D4,4
D,2019-02-01T07:30:00,Southwest Airlines,2153,D3,4
A,2019-02-01T07:32:00,American Airlines,693,B25,4
D,2019-02-01T07:35:00,American Airlines,567,A3,4
D,2019-02-01T07:40:00,Southwest Airlines,1462,C17,4
D,2019-02-01T07:45:00,American Airlines,407,A27,4
D,2019-02-01T07:50:00,American Airlines,655,A20,4
D,2019-02-01T07:50:00,Southwest Airlines,2261,D2,4
D,2019-02-01T08:00:00,American Airlines,601,A5,4
D,2019-02-01T08:00:00,Alaska Airlines,637,F,2
D,2019-02-01T08:00:00,Southwest Airlines,957,C13,4
