arrive_or_depart,schedule,airline,flight_number,gate,terminal
A,2018-01-01T01:04:00,Spirit Airlines,971,2,2
A,2018-01-01T00:05:00,Frontier Airlines,1881,,3
A,2018-01-01T00:04:00,American Airlines,839,,4
A,2018-01-01T00:05:00,American Airlines,2679,,4
A,2018-01-01T00:05:00,American Airlines,861,,4
A,2018-01-01T00:05:00,American Airlines,889,,4
A,2018-01-01T00:05:00,Southwest Airlines,891,,4
A,2018-01-01T00:14:00,United Airlines,716,,2
A,2018-01-01T00:40:00,Southwest Airlines,523,,4
A,2018-01-01T01:15:00,Southwest Airlines,1563,,4
D,2018-01-01T01:35:00,Delta Air Lines,647,17,3
D,2018-01-01T01:57:00,Spirit Airlines,972,2,2
D,2018-01-01T02:20:00,American Airlines,655,A5,4
D,2018-01-01T05:00:00,American Airlines,605,A11,4
D,2018-01-01T05:15:00,United Airlines,859,6A,2
D,2018-01-01T05:15:00,Southwest Airlines,9,D7,4
D,2018-01-01T05:15:00,Southwest Airlines,518,C9,4
D,2018-01-01T05:25:00,Southwest Airlines,1711,C18,4
D,2018-01-01T05:50:00,Southwest Airlines,121,D2,4
D,2018-01-01T05:55:00,Southwest Airlines,1080,C14,4
D,2018-01-01T06:00:00,American Airlines,632,A5,4
D,2018-01-01T06:00:00,Alaska Airlines,959,10,2
D,2018-01-01T06:00:00,United Airlines,1774,3,2
D,2018-01-01T06:00:00,Southwest Airlines,403,D4,4
D,2018-01-01T06:00:00,Southwest Airlines,1540,D3,4
D,2018-01-01T06:00:00,Southwest Airlines,1898,C11,4
A,2018-01-01T06:04:00,American Airlines,673,B28,4
D,2018-01-01T06:05:00,United Airlines,582,5,2
D,2018-01-01T06:10:00,American Airlines,691,B14,4
D,2018-01-01T06:13:00,United Airlines,1600,6B,2
D,2018-01-01T06:15:00,Southwest Airlines,210,C19,4
D,2018-01-01T06:20:00,American Airlines,1061,A18,4
D,2018-01-01T06:20:00,Frontier Airlines,740,20,3
D,2018-01-01T06:20:00,Southwest Airlines,1390,C2,4
D,2018-01-01T06:20:00,Southwest Airlines,1922,C4,4
D,2018-01-01T06:25:00,Delta Air Lines,2162,18,3
