arrive_or_depart,schedule,airline,flight_number,gate,terminal
A,2019-07-01T00:20:00,Southwest Airlines,5056,C9,4
D,2019-07-01T00:47:00,Spirit Airlines,972,2,2
D,2019-07-01T06:20:00,Frontier Airlines,2822,F1,3
D,2019-07-01T09:00:00,WestJet,1537,B27,4
D,2019-07-01T08:10:00,Hawaiian Airlines,35,F10,3
D,2019-07-01T06:00:00,Delta Air Lines,1994,F7,3
D,2019-07-01T06:00:00,Delta Air Lines,5809,F9,3
D,2019-07-01T06:05:00,Delta Air Lines,1043,F10,3
D,2019-07-01T06:10:00,Delta Air Lines,1453,F2,3
D,2019-07-01T06:40:00,Delta Air Lines,1537,F8,3
D,2019-07-01T07:10:00,Delta Air Lines,1074,F4,3
D,2019-07-01T07:20:00,Delta Air Lines,1945,F6,3
D,2019-07-01T07:40:00,Delta Air Lines,5751,F5,3
D,2019-07-01T16:25:00,Delta Air Lines,5837,F5,3
D,2019-07-01T08:00:00,Southwest Airlines,113,C1,4
D,2019-07-01T09:45:00,Southwest Airlines,154,C14,4
D,2019-07-01T18:00:00,Southwest Airlines,36,D6,4
D,2019-07-01T19:10:00,Southwest Airlines,157,C13,4
D,2019-07-01T05:00:00,Southwest Airlines,1049,C3,4
D,2019-07-01T05:00:00,Southwest Airlines,1691,C13,4
D,2019-07-01T05:10:00,Southwest Airlines,2103,C4,4
D,2019-07-01T05:20:00,Southwest Airlines,1333,C11,4
D,2019-07-01T05:40:00,Southwest Airlines,1997,D6,4
D,2019-07-01T05:55:00,Southwest Airlines,417,D8,4
D,2019-07-01T06:05:00,Southwest Airlines,993,C6,4
D,2019-07-01T06:20:00,Southwest Airlines,1595,D2,4
D,2019-07-01T06:40:00,Southwest Airlines,2064,D3,4
D,2019-07-01T06:45:00,Southwest Airlines,1484,C11,4
D,2019-07-01T07:00:00,Southwest Airlines,1849,C12,4
D,2019-07-01T07:10:00,Southwest Airlines,1283,C3,4
D,2019-07-01T07:30:00,Southwest Airlines,199,D2,4
D,2019-07-01T07:40:00,Southwest Airlines,1202,C2,4
D,2019-07-01T07:50:00,Southwest Airlines,182,D8,4
D,2019-07-01T07:55:00,Southwest Airlines,1477,C19,4
D,2019-07-01T08:00:00,Southwest Airlines,575,D5,4
D,2019-07-01T08:00:00,Southwest Airlines,930,C17,4
D,2019-07-01T08:00:00,Southwest Airlines,2092,C7,4
D,2019-07-01T08:05:00,Southwest Airlines,1464,C13,4
D,2019-07-01T08:05:00,Southwest Airlines,1559,D4,4
D,2019-07-01T08:25:00,Southwest Airlines,854,C8,4
D,2019-07-01T08:40:00,Southwest Airlines,380,C2,4
D,2019-07-01T09:00:00,Southwest Airlines,1347,C12,4
D,2019-07-01T09:00:00,Southwest Airlines,1910,C6,4
D,2019-07-01T09:00:00,Southwest Airlines,2066,D2,4
D,2019-07-01T09:10:00,Southwest Airlines,1425,C3,4
D,2019-07-01T09:20:00,Southwest Airlines,1593,D4,4
D,2019-07-01T09:30:00,Southwest Airlines,1688,C17,4
D,2019-07-01T09:40:00,Southwest Airlines,505,C11,4
D,2019-07-01T10:05:00,Southwest Airlines,259,D6,4
D,2019-07-01T10:05:00,Southwest Airlines,590,C1,4
D,2019-07-01T10:05:00,Southwest Airlines,1448,D5,4
D,2019-07-01T10:10:00,Southwest Airlines,908,C2,4
D,2019-07-01T10:10:00,Southwest Airlines,1492,D3,4
D,2019-07-01T10:15:00,Southwest Airlines,610,D7,4
D,2019-07-01T10:25:00,Southwest Airlines,770,C13,4
D,2019-07-01T10:35:00,Southwest Airlines,1015,C3,4
D,2019-07-01T10:40:00,Southwest Airlines,461,C12,4
D,2019-07-01T10:40:00,Southwest Airlines,678,C9,4
D,2019-07-01T10:50:00,Southwest Airlines,1574,D4,4
D,2019-07-01T10:55:00,Southwest Airlines,275,D1,4
D,2019-07-01T11:00:00,Southwest Airlines,383,C4,4
D,2019-07-01T11:00:00,Southwest Airlines,1950,C11,4
D,2019-07-01T11:10:00,Southwest Airlines,263,C8,4
D,2019-07-01T11:15:00,Southwest Airlines,1495,C17,4
D,2019-07-01T11:35:00,Southwest Airlines,1147,C14,4
D,2019-07-01T11:45:00,Southwest Airlines,1310,D3,4
D,2019-07-01T11:45:00,Southwest Airlines,1327,C2,4
D,2019-07-01T12:00:00,Southwest Airlines,1543,C6,4
D,2019-07-01T12:15:00,Southwest Airlines,717,C1,4
D,2019-07-01T12:20:00,Southwest Airlines,402,C11,4
D,2019-07-01T13:10:00,Southwest Airlines,782,D3,4
D,2019-07-01T13:25:00,Southwest Airlines,2068,D4,4
D,2019-07-01T13:30:00,Southwest Airlines,750,D5,4
D,2019-07-01T13:30:00,Southwest Airlines,1280,C17,4
D,2019-07-01T13:30:00,Southwest Airlines,1816,D7,4
D,2019-07-01T14:50:00,Southwest Airlines,1424,C3,4
D,2019-07-01T14:50:00,Southwest Airlines,1736,C19,4
D,2019-07-01T14:50:00,Southwest Airlines,1838,C13,4
D,2019-07-01T15:00:00,Southwest Airlines,851,D5,4
D,2019-07-01T15:05:00,Southwest Airlines,653,C1,4
D,2019-07-01T15:30:00,Southwest Airlines,1980,C12,4
D,2019-07-01T15:55:00,Southwest Airlines,1016,D2,4
D,2019-07-01T15:55:00,Southwest Airlines,1909,C17,4
D,2019-07-01T16:05:00,Southwest Airlines,600,C3,4
D,2019-07-01T16:10:00,Southwest Airlines,1165,C14,4
D,2019-07-01T16:35:00,Southwest Airlines,249,C8,4
D,2019-07-01T16:40:00,Southwest Airlines,480,D7,4
D,2019-07-01T16:40:00,Southwest Airlines,1171,C4,4
D,2019-07-01T16:50:00,Southwest Airlines,2013,C1,4
D,2019-07-01T17:00:00,Southwest Airlines,1550,C7,4
D,2019-07-01T17:05:00,Southwest Airlines,1629,D2,4
D,2019-07-01T17:25:00,Southwest Airlines,1885,C13,4
D,2019-07-01T18:05:00,Southwest Airlines,1014,C3,4
D,2019-07-01T18:15:00,Southwest Airlines,1118,C6,4
D,2019-07-01T18:15:00,Southwest Airlines,1281,C11,4
D,2019-07-01T18:30:00,Southwest Airlines,1212,C7,4
D,2019-07-01T18:30:00,Southwest Airlines,2049,C19,4
D,2019-07-01T18:40:00,Southwest Airlines,1344,D5,4
D,2019-07-01T19:00:00,Southwest Airlines,715,D4,4
D,2019-07-01T19:10:00,Southwest Airlines,1370,C8,4
D,2019-07-01T19:10:00,Southwest Airlines,1575,C14,4
D,2019-07-01T19:25:00,Southwest Airlines,1439,C17,4
D,2019-07-01T19:30:00,Southwest Airlines,1592,D2,4
D,2019-07-01T19:35:00,Southwest Airlines,435,C7,4
D,2019-07-01T19:40:00,Southwest Airlines,1725,C11,4
D,2019-07-01T19:45:00,Southwest Airlines,683,D6,4
D,2019-07-01T19:55:00,Southwest Airlines,324,C19,4
D,2019-07-01T20:15:00,Southwest Airlines,510,D4,4
D,2019-07-01T20:25:00,Southwest Airlines,494,D8,4
D,2019-07-01T20:40:00,Southwest Airlines,783,C13,4
D,2019-07-01T21:00:00,Southwest Airlines,1925,D7,4
D,2019-07-01T21:10:00,Southwest Airlines,1961,C9,4
D,2019-07-01T21:25:00,Southwest Airlines,421,D5,4
D,2019-07-01T21:35:00,Southwest Airlines,1703,C7,4
D,2019-07-01T21:45:00,Southwest Airlines,1002,C17,4
D,2019-07-01T21:45:00,Southwest Airlines,1490,C8,4
D,2019-07-01T21:50:00,Southwest Airlines,2113,C13,4
D,2019-07-01T22:00:00,Southwest Airlines,853,C19,4
D,2019-07-01T22:45:00,Southwest Airlines,175,D2,4
D,2019-07-01T07:00:00,Southwest Airlines,2563,C13,4
A,2019-07-01T07:00:00,Southwest Airlines,257,C19,4
D,2019-07-01T07:00:00,American Airlines,601,A3,4
A,2019-07-01T07:04:00,American Airlines,697,A22,4
A,2019-07-01T07:05:00,Southwest Airlines,1163,D3,4
A,2019-07-01T07:05:00,Frontier Airlines,1731,F1,3
A,2019-07-01T07:05:00,Southwest Airlines,5858,D4,4
D,2019-07-01T07:10:00,American Airlines,2795,A6,4
A,2019-07-01T07:11:00,American Airlines,2967,B19,4
