arrive_or_depart,schedule,airline,flight_number,gate,terminal
A,2018-06-01T00:05:00,Southwest Airlines,608,D7,4
D,2018-06-01T00:05:00,Delta Air Lines,2160,19,3
A,2018-06-01T00:09:00,United Airlines,5663,3,2
A,2018-06-01T00:15:00,Southwest Airlines,2033,C7,4
A,2018-06-01T00:25:00,Southwest Airlines,1585,D1,4
D,2018-06-01T00:35:00,American Airlines,617,A7,4
D,2018-06-01T00:44:00,American Airlines,230,A9,4
D,2018-06-01T00:50:00,Spirit Airlines,972,2,2
A,2018-06-01T00:03:00,Alaska Airlines,632,,2
D,2018-06-01T01:15:00,American Airlines,690,A3,4
D,2018-06-01T05:00:00,American Airlines,628,A13,4
D,2018-06-01T05:05:00,Southwest Airlines,753,C17,4
D,2018-06-01T05:05:00,Southwest Airlines,5134,C4,4
D,2018-06-01T05:10:00,Southwest Airlines,2105,D3,4
D,2018-06-01T05:15:00,Southwest Airlines,935,C11,4
D,2018-06-01T05:15:00,Southwest Airlines,1787,C6,4
D,2018-06-01T05:15:00,American Airlines,2744,A25,4
D,2018-06-01T05:20:00,American Airlines,2731,A29,4
D,2018-06-01T05:30:00,Southwest Airlines,1082,D4,4
D,2018-06-01T05:30:00,Southwest Airlines,1496,D5,4
D,2018-06-01T05:45:00,United Airlines,2416,7,2
D,2018-06-01T05:55:00,Southwest Airlines,1017,D7,4
D,2018-06-01T06:00:00,Southwest Airlines,410,C3,4
A,2018-06-01T06:00:00,Southwest Airlines,1506,C11,4
D,2018-06-01T06:00:00,United Airlines,5326,3,2
D,2018-06-01T06:00:00,Alaska Airlines,637,10,2
D,2018-06-01T06:00:00,Delta Air Lines,824,18,3
D,2018-06-01T06:00:00,Delta Air Lines,5710,17,3
D,2018-06-01T06:03:00,American Airlines,2996,A1,4
D,2018-06-01T06:05:00,Southwest Airlines,1897,C18,4
A,2018-06-01T06:05:00,Southwest Airlines,1460,C17,4
A,2018-06-01T06:05:00,Southwest Airlines,766,C6,4
D,2018-06-01T06:05:00,Delta Air Lines,1994,15,3
D,2018-06-01T06:05:00,Frontier Airlines,1602,20,3
D,2018-06-01T06:10:00,Delta Air Lines,1747,19,3
D,2018-06-01T06:10:00,United Airlines,1774,6B,2
A,2018-06-01T06:15:00,Southwest Airlines,5288,D7,4
D,2018-06-01T06:15:00,Southwest Airlines,5248,D1,4
D,2018-06-01T06:23:00,United Airlines,2083,5,2
A,2018-06-01T06:29:00,American Airlines,2977,B1A,4
A,2018-06-01T06:30:00,Southwest Airlines,933,D3,4
A,2018-06-01T06:30:00,Southwest Airlines,1418,D5,4
D,2018-06-01T06:30:00,American Airlines,549,A3,4
D,2018-06-01T06:30:00,American Airlines,581,A23,4
D,2018-06-01T06:35:00,Southwest Airlines,1506,C11,4
A,2018-06-01T06:35:00,American Airlines,1979,A12,4
D,2018-06-01T06:35:00,United Airlines,1600,8,2
D,2018-06-01T06:40:00,Alaska Airlines,959,11,2
A,2018-06-01T06:42:00,American Airlines,2287,B13,4
A,2018-06-01T06:42:00,American Airlines,2061,A3,4
A,2018-06-01T06:44:00,American Airlines,426,A9,4
D,2018-06-01T06:45:00,Southwest Airlines,1460,C17,4
A,2018-06-01T06:46:00,American Airlines,1630,B11,4
A,2018-06-01T06:46:00,American Airlines,3259,A1,4
A,2018-06-01T06:48:00,American Airlines,553,A13,4
A,2018-06-01T06:48:00,American Airlines,1737,A25,4
A,2018-06-01T06:48:00,American Airlines,5797,B18,4
A,2018-06-01T06:49:00,American Airlines,5897,B3,4
A,2018-06-01T06:49:00,American Airlines,5930,B5,4
D,2018-06-01T06:50:00,Southwest Airlines,766,C6,4
A,2018-06-01T06:50:00,Southwest Airlines,1505,C3,4
D,2018-06-01T06:55:00,Southwest Airlines,824,C4,4
A,2018-06-01T06:55:00,Southwest Airlines,1294,D4,4
D,2018-06-01T06:55:00,Delta Air Lines,1786,16,3
D,2018-06-01T07:00:00,Southwest Airlines,105,C9,4
D,2018-06-01T07:00:00,Southwest Airlines,751,C14,4
D,2018-06-01T07:00:00,Southwest Airlines,1499,D7,4
D,2018-06-01T07:00:00,Southwest Airlines,1862,C2,4
D,2018-06-01T07:00:00,Southwest Airlines,1916,C8,4
A,2018-06-01T07:00:00,Southwest Airlines,1490,D1,4
A,2018-06-01T07:00:00,Southwest Airlines,577,C17,4
D,2018-06-01T07:00:00,American Airlines,2692,B7,4
D,2018-06-01T07:00:00,Frontier Airlines,1412,20,3
A,2018-06-01T07:01:00,American Airlines,697,A29,4
A,2018-06-01T07:04:00,American Airlines,693,B14,4
D,2018-06-01T07:05:00,Southwest Airlines,1418,D5,4
A,2018-06-01T07:10:00,Southwest Airlines,1207,C8,4
A,2018-06-01T07:10:00,Southwest Airlines,1759,C8,4
D,2018-06-01T07:10:00,Delta Air Lines,5705,23,3
A,2018-06-01T07:11:00,American Airlines,645,A22,4
A,2018-06-01T07:15:00,Southwest Airlines,1934,C11,4
A,2018-06-01T07:15:00,Southwest Airlines,2096,C4,4
A,2018-06-01T07:15:00,Southwest Airlines,117,D7,4
D,2018-06-01T07:15:00,American Airlines,1709,B26,4
D,2018-06-01T07:15:00,Delta Air Lines,5725,19,3
D,2018-06-01T07:15:00,Southwest Airlines,5569,C16,4
A,2018-06-01T07:20:00,American Airlines,2028,A17,4
D,2018-06-01T07:20:00,American Airlines,491,B6,4
D,2018-06-01T07:20:00,American Airlines,3205,B16,4
D,2018-06-01T07:20:00,American Airlines,5881,B15A,4
D,2018-06-01T07:20:00,American Airlines,5996,B9,4
A,2018-06-01T07:25:00,Southwest Airlines,1463,C2,4
D,2018-06-01T07:25:00,American Airlines,1856,A18,4
D,2018-06-01T07:25:00,United Airlines,656,6B,2
D,2018-06-01T07:25:00,Southwest Airlines,5597,D3,4
A,2018-06-01T07:28:00,American Airlines,664,A20,4
A,2018-06-01T07:28:00,American Airlines,1943,A23,4
D,2018-06-01T07:30:00,Hawaiian Airlines,35,24,3
A,2018-06-01T07:30:00,Southwest Airlines,1454,C9,4
D,2018-06-01T07:30:00,American Airlines,841,A4,4
D,2018-06-01T07:30:00,Delta Air Lines,2162,17,3
D,2018-06-01T07:30:00,Southwest Airlines,5714,D4,4
D,2018-06-01T07:35:00,American Airlines,465,A26,4
D,2018-06-01T07:35:00,American Airlines,5930,B5,4
A,2018-06-01T07:37:00,American Airlines,1086,B9,4
A,2018-06-01T07:38:00,American Airlines,1851,A2,4
A,2018-06-01T07:39:00,American Airlines,3132,B15B,4
D,2018-06-01T07:39:00,American Airlines,5889,B22,4
A,2018-06-01T07:40:00,Southwest Airlines,1762,C16,4
A,2018-06-01T07:40:00,Southwest Airlines,980,D5,4
D,2018-06-01T07:40:00,American Airlines,2672,B13,4
D,2018-06-01T07:40:00,American Airlines,5907,B3,4
A,2018-06-01T07:41:00,American Airlines,5885,B16,4
D,2018-06-01T07:43:00,American Airlines,2061,A3,4
A,2018-06-01T07:44:00,American Airlines,5939,B19,4
D,2018-06-01T22:28:00,United Airlines,1976,5,2
A,2018-06-01T22:30:00,Southwest Airlines,1260,C8,4
A,2018-06-01T22:32:00,Alaska Airlines,622,10,2
A,2018-06-01T22:35:00,Southwest Airlines,1906,C3,4
A,2018-06-01T22:38:00,American Airlines,3086,A1,4
A,2018-06-01T22:38:00,Alaska Airlines,614,,2
A,2018-06-01T22:40:00,Delta Air Lines,2167,23,3
A,2018-06-01T22:45:00,Southwest Airlines,5480,D4,4
A,2018-06-01T22:45:00,Southwest Airlines,707,C7,4
A,2018-06-01T22:48:00,JetBlue Airways,135,26,3
D,2018-06-01T22:50:00,American Airlines,635,A29,4
A,2018-06-01T22:52:00,Frontier Airlines,1277,20,3
D,2018-06-01T22:55:00,American Airlines,513,A30,4
A,2018-06-01T23:00:00,Delta Air Lines,5694,17,3
A,2018-06-01T23:01:00,United Airlines,388,8,2
A,2018-06-01T23:07:00,American Airlines,889,A22,4
A,2018-06-01T23:15:00,Southwest Airlines,5590,C13,4
A,2018-06-01T23:20:00,Southwest Airlines,863,D7,4
A,2018-06-01T23:22:00,United Airlines,716,8,2
D,2018-06-01T23:25:00,Delta Air Lines,2477,18,3
A,2018-06-01T23:28:00,Alaska Airlines,640,11,2
A,2018-06-01T23:30:00,Southwest Airlines,5405,D5,4
A,2018-06-01T23:34:00,American Airlines,229,A24,4
A,2018-06-01T23:35:00,Southwest Airlines,5524,C11,4
A,2018-06-01T23:35:00,Southwest Airlines,5394,C16,4
A,2018-06-01T23:36:00,Delta Air Lines,2070,23,3
D,2018-06-01T23:38:00,JetBlue Airways,602,26,3
D,2018-06-01T23:40:00,American Airlines,1512,A9,4
D,2018-06-01T23:45:00,Delta Air Lines,2576,23,3
A,2018-06-01T23:53:00,Spirit Airlines,971,2,2
D,2018-06-01T23:53:00,United Airlines,1855,7,2
A,2018-06-02T00:05:00,Southwest Airlines,608,C18,4
D,2018-06-02T00:05:00,Delta Air Lines,2160,23,3
A,2018-06-02T00:09:00,United Airlines,5663,7,2
A,2018-06-02T00:15:00,Southwest Airlines,2033,C1,4
D,2018-06-02T00:22:00,Frontier Airlines,1274,20,3
A,2018-06-02T00:25:00,Southwest Airlines,1585,C9,4
D,2018-06-02T00:35:00,American Airlines,1736,A22,4
D,2018-06-02T00:44:00,American Airlines,230,A24,4
D,2018-06-02T00:50:00,Spirit Airlines,972,2,2
A,2018-06-02T00:03:00,Alaska Airlines,632,,2
D,2018-06-02T01:15:00,American Airlines,690,A26,4
D,2018-06-02T05:00:00,American Airlines,628,A23,4
A,2018-06-02T05:10:00,American Airlines,673,,4
D,2018-06-02T05:15:00,American Airlines,2744,B9,4
D,2018-06-02T05:20:00,American Airlines,2731,A21,4
D,2018-06-02T05:45:00,United Airlines,2416,6A,2
A,2018-06-02T05:56:00,American Airlines,1945,,4
D,2018-06-02T06:00:00,Southwest Airlines,4257,C14,4
D,2018-06-02T06:00:00,Southwest Airlines,4405,C19,4
D,2018-06-02T06:00:00,Alaska Airlines,637,10,2
D,2018-06-02T06:00:00,Alaska Airlines,959,11,2
D,2018-06-02T06:00:00,United Airlines,5326,7,2
A,2018-06-01T17:19:00,American Airlines,9627,PDA,4
D,2018-06-02T06:03:00,American Airlines,2996,A1,4
D,2018-06-02T06:05:00,Delta Air Lines,1994,15,3
D,2018-06-02T06:05:00,Frontier Airlines,1602,20,3
D,2018-06-02T06:05:00,United Airlines,1600,6B,2
D,2018-06-02T06:10:00,Delta Air Lines,1747,16,3
D,2018-06-02T06:10:00,United Airlines,1774,3,2
D,2018-06-02T06:23:00,United Airlines,2083,8,2
D,2018-06-02T06:25:00,Delta Air Lines,5785,18,3
A,2018-06-02T06:29:00,American Airlines,2977,B2,4
D,2018-06-02T06:30:00,Southwest Airlines,2245,C9,4
D,2018-06-02T06:30:00,Southwest Airlines,4307,C6,4
D,2018-06-02T06:30:00,American Airlines,549,A27,4
D,2018-06-02T06:30:00,American Airlines,581,A13,4
D,2018-06-02T06:35:00,Southwest Airlines,4433,D5,4
A,2018-06-02T06:35:00,American Airlines,1979,B4,4
D,2018-06-02T06:40:00,Southwest Airlines,3469,C4,4
A,2018-06-02T06:42:00,American Airlines,2287,B11,4
A,2018-06-02T06:42:00,American Airlines,2061,A21,4
A,2018-06-02T06:44:00,American Airlines,426,A13,4
D,2018-06-02T06:45:00,Southwest Airlines,3325,C11,4
A,2018-06-02T06:46:00,American Airlines,1630,A17,4
A,2018-06-02T06:46:00,American Airlines,3259,A1,4
A,2018-06-02T06:48:00,American Airlines,1737,A2,4
A,2018-06-02T06:48:00,American Airlines,553,A11,4
A,2018-06-02T06:48:00,American Airlines,5797,B3,4
A,2018-06-02T06:49:00,American Airlines,5897,B5,4
A,2018-06-02T06:49:00,American Airlines,5930,B20,4
D,2018-06-01T10:00:00,American Airlines,9835,B15A,4
D,2018-06-02T07:00:00,Southwest Airlines,3222,C7,4
D,2018-06-02T07:00:00,American Airlines,2692,A25,4
D,2018-06-02T07:00:00,Delta Air Lines,1786,19,3
D,2018-06-02T07:00:00,Frontier Airlines,1412,25,3
A,2018-06-02T07:01:00,American Airlines,697,B28,4
A,2018-06-02T07:04:00,American Airlines,693,A22,4
D,2018-06-02T07:05:00,Southwest Airlines,3709,C3,4
D,2018-06-02T07:05:00,Southwest Airlines,4535,C18,4
D,2018-06-02T07:10:00,Delta Air Lines,5705,15,3
A,2018-06-02T07:11:00,American Airlines,645,A26,4
D,2018-06-02T07:15:00,American Airlines,1709,A5,4
D,2018-06-02T07:15:00,Delta Air Lines,5725,17,3
D,2018-06-02T07:20:00,American Airlines,491,A14,4
D,2018-06-02T07:20:00,American Airlines,3205,B2,4
D,2018-06-02T07:20:00,American Airlines,5881,B18,4
D,2018-06-02T07:20:00,American Airlines,5996,B15A,4
A,2018-06-02T07:20:00,American Airlines,2028,B9,4
D,2018-06-02T07:25:00,American Airlines,450,A4,4
D,2018-06-02T07:25:00,United Airlines,656,5,2
A,2018-06-02T07:28:00,American Airlines,664,B25,4
A,2018-06-02T07:28:00,American Airlines,1943,A18,4
D,2018-06-02T07:30:00,Hawaiian Airlines,35,24,3
D,2018-06-02T07:30:00,American Airlines,841,A10,4
D,2018-06-02T07:35:00,Southwest Airlines,4402,C16,4
D,2018-06-02T07:35:00,Southwest Airlines,4427,D8,4
A,2018-06-02T07:35:00,Southwest Airlines,760,C13,4
A,2018-06-02T07:35:00,Southwest Airlines,3919,C7,4
D,2018-06-02T07:35:00,American Airlines,465,A20,4
D,2018-06-02T07:35:00,American Airlines,5930,B5,4
A,2018-06-02T07:37:00,American Airlines,1086,A25,4
A,2018-06-02T07:38:00,American Airlines,1851,A10,4
D,2018-06-02T07:39:00,American Airlines,5889,B7,4
A,2018-06-02T07:39:00,American Airlines,3132,B15B,4
A,2018-06-02T07:40:00,Southwest Airlines,3265,C14,4
A,2018-06-03T20:15:00,United Airlines,594,6B,2
D,2018-06-03T20:16:00,American Airlines,3232,B1,4
D,2018-06-03T20:17:00,American Airlines,3257,B1,4
D,2018-06-03T20:18:00,American Airlines,5845,B20,4
D,2018-06-03T20:19:00,American Airlines,5821,B5,4
A,2018-06-03T20:20:00,Southwest Airlines,4526,C1,4
D,2018-06-03T20:20:00,American Airlines,1576,A9,4
D,2018-06-03T20:20:00,American Airlines,5964,B22,4
D,2018-06-03T20:25:00,American Airlines,563,A22,4
D,2018-06-03T20:28:00,American Airlines,1932,A19,4
D,2018-06-03T20:29:00,American Airlines,452,A26,4
D,2018-06-03T20:30:00,Southwest Airlines,2258,D5,4
D,2018-06-03T20:30:00,Southwest Airlines,3652,C11,4
D,2018-06-03T20:30:00,Southwest Airlines,3846,C7,4
A,2018-06-03T20:30:00,Southwest Airlines,2282,C13,4
A,2018-06-03T20:30:00,American Airlines,5894,B5,4
A,2018-06-03T20:33:00,Delta Air Lines,5807,15,3
D,2018-06-03T20:35:00,Southwest Airlines,2956,D6,4
D,2018-06-03T20:35:00,American Airlines,440,A17,4
A,2018-06-03T20:35:00,United Airlines,607,3,2
A,2018-06-03T20:40:00,Southwest Airlines,3958,C17,4
D,2018-06-03T20:40:00,American Airlines,1723,A23,4
A,2018-06-03T20:40:00,American Airlines,1384,A30,4
A,2018-06-03T20:43:00,American Airlines,613,A13,4
A,2018-06-03T20:44:00,American Airlines,5868,B16,4
A,2018-06-03T20:45:00,Southwest Airlines,4888,C14,4
A,2018-06-03T20:47:00,American Airlines,1280,A27,4
A,2018-06-03T20:48:00,American Airlines,1246,A24,4
A,2018-06-03T20:49:00,American Airlines,5860,B3,4
D,2018-06-03T20:50:00,Southwest Airlines,3947,D3,4
A,2018-06-03T20:51:00,American Airlines,3032,B2,4
A,2018-06-03T20:51:00,American Airlines,1754,A22,4
A,2018-06-03T20:52:00,American Airlines,3203,B18,4
A,2018-06-03T20:53:00,American Airlines,5968,B15A,4
A,2018-06-03T20:55:00,Southwest Airlines,2597,D6,4
A,2018-06-03T20:57:00,Delta Air Lines,2559,19,3
A,2018-06-03T20:58:00,American Airlines,1081,A7,4
A,2018-06-03T21:00:00,Southwest Airlines,4901,D5,4
A,2018-06-03T21:00:00,Southwest Airlines,6479,C11,4
A,2018-06-03T21:00:00,American Airlines,2029,A14,4
A,2018-06-03T21:03:00,American Airlines,3255,B1A,4
A,2018-06-03T21:04:00,American Airlines,454,A10,4
D,2018-06-03T21:05:00,Southwest Airlines,2964,D8,4
D,2018-06-03T21:05:00,Southwest Airlines,2980,C9,4
D,2018-06-03T21:05:00,Southwest Airlines,6011,D7,4
D,2018-06-03T21:05:00,Southwest Airlines,6355,C18,4
D,2018-06-03T21:05:00,Southwest Airlines,6412,C1,4
A,2018-06-03T21:05:00,Delta Air Lines,710,16,3
A,2018-06-03T21:06:00,American Airlines,561,A26,4
A,2018-06-03T21:09:00,American Airlines,564,A25,4
D,2018-06-03T21:10:00,Southwest Airlines,2705,C9,4
D,2018-06-03T21:10:00,Southwest Airlines,4526,C1,4
A,2018-06-03T21:10:00,American Airlines,3046,B1,4
A,2018-06-03T21:11:00,American Airlines,513,A23,4
A,2018-06-03T21:12:00,American Airlines,523,B13,4
A,2018-06-03T21:12:00,American Airlines,514,B7,4
A,2018-06-03T21:13:00,American Airlines,1997,A29,4
D,2018-06-03T21:15:00,Southwest Airlines,2722,D1,4
D,2018-06-03T21:15:00,Southwest Airlines,2978,C8,4
A,2018-06-03T21:15:00,Southwest Airlines,2424,C6,4
A,2018-06-03T21:15:00,Southwest Airlines,2451,C16,4
A,2018-06-03T21:15:00,Southwest Airlines,4556,C3,4
D,2018-06-03T21:20:00,Southwest Airlines,2282,C19,4
A,2018-06-03T21:20:00,Southwest Airlines,3041,C7,4
A,2018-06-03T21:29:00,Frontier Airlines,1895,25,3
A,2018-06-03T21:30:00,Hawaiian Airlines,36,24,3
A,2018-06-03T21:31:00,United Airlines,2185,6B,2
D,2018-06-03T21:35:00,Southwest Airlines,3958,C11,4
