arrive_or_depart,schedule,airline,flight_number,gate,terminal
A,2018-03-01T00:05:00,Southwest Airlines,1669,C9,4
A,2018-03-01T00:03:00,Alaska Airlines,640,11,2
A,2018-03-01T00:12:00,American Airlines,3086,B5,4
A,2018-03-01T00:15:00,Frontier Airlines,753,26,3
A,2018-03-01T00:23:00,Delta Air Lines,1427,18,3
A,2018-03-01T00:25:00,Southwest Airlines,5812,C3,4
A,2018-03-01T00:25:00,United Airlines,716,5,2
D,2018-03-01T00:30:00,American Airlines,2026,A7,4
D,2018-03-01T00:35:00,Air Canada,1834,B25,4
D,2018-03-01T00:35:00,American Airlines,2020,A11,4
D,2018-03-01T00:45:00,Delta Air Lines,2160,19,3
A,2018-03-01T00:47:00,American Airlines,654,A7,4
D,2018-03-01T00:55:00,American Airlines,1512,A12,4
A,2018-03-01T01:00:00,Alaska Airlines,632,10,2
A,2018-03-01T01:04:00,Spirit Airlines,971,2,2
D,2018-03-01T01:05:00,Sun Country Airlines,610,1,2
A,2018-03-01T01:05:00,American Airlines,609,A11,4
A,2018-03-01T00:14:00,Frontier Airlines,749,,3
D,2018-03-01T01:10:00,American Airlines,408,A3,4
A,2018-03-01T01:11:00,United Airlines,5909,6B,2
D,2018-03-01T01:15:00,Delta Air Lines,1567,23,3
D,2018-03-01T01:45:00,American Airlines,2719,A14,4
D,2018-03-01T01:59:00,Spirit Airlines,972,2,2
D,2018-03-01T05:00:00,American Airlines,783,A7,4
D,2018-03-01T05:30:00,Southwest Airlines,724,C16,4
D,2018-03-01T06:00:00,American Airlines,632,A7,4
D,2018-03-01T06:00:00,Alaska Airlines,959,10,2
D,2018-03-01T06:00:00,Delta Air Lines,1747,18,3
D,2018-03-01T06:00:00,Southwest Airlines,1300,C19,4
D,2018-03-01T06:00:00,Southwest Airlines,1675,C11,4
D,2018-03-01T06:10:00,American Airlines,691,A29,4
D,2018-03-01T06:10:00,Southwest Airlines,1164,D6,4
D,2018-03-01T06:10:00,Southwest Airlines,6857,D8,4
D,2018-03-01T06:15:00,Frontier Airlines,748,25,3
D,2018-03-01T06:20:00,American Airlines,1061,A9,4
D,2018-03-01T06:25:00,Southwest Airlines,1402,C6,4
D,2018-03-01T06:30:00,Delta Air Lines,2460,16,3
D,2018-03-01T06:30:00,Southwest Airlines,193,C4,4
D,2018-03-01T06:30:00,Southwest Airlines,539,D4,4
D,2018-03-01T06:35:00,Delta Air Lines,5710,17,3
D,2018-03-01T06:40:00,American Airlines,2996,B5,4
D,2018-03-01T06:40:00,Southwest Airlines,1797,C8,4
D,2018-03-01T06:45:00,Alaska Airlines,631,11,2
D,2018-03-01T06:45:00,United Airlines,5326,6B,2
D,2018-03-01T06:45:00,Southwest Airlines,2081,C2,4
D,2018-03-01T06:54:00,Delta Air Lines,824,19,3
D,2018-03-01T06:55:00,Southwest Airlines,1653,C14,4
D,2018-03-01T07:00:00,Delta Air Lines,1994,18,3
D,2018-03-01T07:00:00,Frontier Airlines,1442,25,3
D,2018-03-01T07:00:00,United Airlines,1774,5,2
D,2018-03-01T07:05:00,Delta Air Lines,936,15,3
D,2018-03-01T07:05:00,United Airlines,781,3,2
D,2018-03-01T07:10:00,Delta Air Lines,2162,23,3
D,2018-03-01T07:15:00,Frontier Airlines,1880,20,3
D,2018-03-01T07:15:00,Southwest Airlines,372,C7,4
D,2018-03-01T07:15:00,Southwest Airlines,1398,C9,4
A,2018-03-01T07:15:00,Southwest Airlines,350,C2,4
D,2018-03-01T07:20:00,Southwest Airlines,1951,C2,4
D,2018-03-01T07:25:00,United Airlines,1600,8,2
A,2018-03-01T07:25:00,Southwest Airlines,498,C17,4
A,2018-03-01T07:27:00,American Airlines,693,B25,4
D,2018-03-01T07:30:00,American Airlines,570,A3,4
D,2018-03-01T07:30:00,Alaska Airlines,379,10,2
D,2018-03-01T07:30:00,Hawaiian Airlines,35,24,3
D,2018-03-01T07:30:00,Southwest Airlines,1586,D5,4
D,2018-03-01T07:30:00,Southwest Airlines,2074,D7,4
A,2018-03-01T07:30:00,Southwest Airlines,2040,C3,4
D,2018-03-01T07:35:00,United Airlines,2083,7,2
A,2018-03-01T07:35:00,American Airlines,5940,B18,4
A,2018-03-01T07:39:00,American Airlines,3046,A1,4
A,2018-03-01T07:40:00,American Airlines,855,A7,4
A,2018-03-01T07:40:00,Southwest Airlines,551,C6,4
A,2018-03-01T07:41:00,American Airlines,491,A14,4
A,2018-03-01T07:43:00,American Airlines,1709,A9,4
A,2018-03-01T07:43:00,American Airlines,5937,B22,4
A,2018-03-01T07:43:00,American Airlines,677,A25,4
D,2018-03-01T07:45:00,American Airlines,549,A21,4
A,2018-03-01T07:45:00,Southwest Airlines,1372,D2,4
A,2018-03-01T07:46:00,American Airlines,5976,B24A,4
A,2018-03-01T07:46:00,American Airlines,5837,B7,4
A,2018-03-01T07:47:00,American Airlines,3056,B16,4
A,2018-03-01T07:49:00,American Airlines,5836,B19,4
D,2018-03-01T07:50:00,Southwest Airlines,887,C3,4
A,2018-03-01T07:50:00,American Airlines,1730,A19,4
D,2018-03-01T07:54:00,United Airlines,316,6A,2
D,2018-03-01T08:00:00,WestJet,1499,B23,4
D,2018-03-01T08:00:00,Southwest Airlines,114,D2,4
D,2018-03-01T08:00:00,Southwest Airlines,2858,D8,4
A,2018-03-01T08:03:00,American Airlines,645,A29,4
D,2018-03-01T08:05:00,Southwest Airlines,498,C17,4
D,2018-03-01T08:05:00,Southwest Airlines,397,C13,4
A,2018-03-01T08:09:00,American Airlines,697,A30,4
D,2018-03-01T08:10:00,American Airlines,1969,A23,4
D,2018-03-01T08:10:00,Alaska Airlines,637,11,2
D,2018-03-01T08:15:00,Southwest Airlines,106,C6,4
A,2018-03-01T08:15:00,Southwest Airlines,1691,C16,4
D,2018-03-01T08:20:00,American Airlines,1856,A22,4
D,2018-03-01T08:20:00,American Airlines,5728,B15A,4
D,2018-03-01T08:20:00,American Airlines,5737,B17,4
D,2018-03-01T08:20:00,American Airlines,5925,B21,4
D,2018-03-01T08:20:00,Delta Air Lines,5699,19,3
D,2018-03-01T08:20:00,Southwest Airlines,778,C17,4
A,2018-03-01T08:20:00,Southwest Airlines,1717,D3,4
A,2018-03-01T08:20:00,Southwest Airlines,705,D2,4
D,2018-03-01T08:21:00,American Airlines,1271,B14,4
D,2018-03-01T08:21:00,Delta Air Lines,5705,17,3
D,2018-03-01T08:25:00,American Airlines,1676,A27,4
D,2018-03-01T08:25:00,American Airlines,5714,B22,4
A,2018-03-01T08:25:00,American Airlines,664,A22,4
A,2018-03-01T08:25:00,Southwest Airlines,187,C11,4
D,2018-03-01T08:27:00,American Airlines,2994,B16,4
D,2018-03-01T08:30:00,American Airlines,647,A12,4
D,2018-03-01T08:30:00,Frontier Airlines,1876,20,3
A,2018-03-01T08:30:00,Great Lakes Airlines,3031,9,2
D,2018-03-01T08:32:00,United Airlines,656,6B,2
D,2018-03-01T08:34:00,American Airlines,1709,A14,4
D,2018-03-01T08:35:00,American Airlines,465,A30,4
D,2018-03-01T08:35:00,American Airlines,3164,A1,4
D,2018-03-01T08:35:00,American Airlines,5832,B19,4
D,2018-03-01T08:37:00,American Airlines,5934,B24A,4
A,2018-03-01T08:39:00,American Airlines,5986,B5,4
D,2018-03-01T08:40:00,American Airlines,5960,B2,4
A,2018-03-01T08:42:00,American Airlines,652,A12,4
A,2018-03-01T08:43:00,American Airlines,938,B14,4
D,2018-03-01T08:45:00,American Airlines,523,A9,4
D,2018-03-01T08:45:00,American Airlines,855,A19,4
D,2018-03-01T08:45:00,Southwest Airlines,6340,D2,4
A,2018-03-01T08:45:00,American Airlines,1650,A2,4
A,2018-03-01T08:45:00,Southwest Airlines,1368,D6,4
A,2018-03-01T08:48:00,American Airlines,5844,B22,4
A,2018-03-01T08:49:00,American Airlines,761,A18,4
A,2018-03-01T08:49:00,American Airlines,3160,B1,4
D,2018-03-01T08:50:00,American Airlines,1937,B8,4
A,2018-03-01T08:51:00,American Airlines,1780,A17,4
A,2018-03-01T08:51:00,American Airlines,3041,B17,4
A,2018-03-01T08:53:00,American Airlines,3156,B21,4
D,2018-03-01T08:55:00,American Airlines,5957,B20,4
D,2018-03-01T08:55:00,Southwest Airlines,1079,C16,4
A,2018-03-01T08:56:00,American Airlines,5817,B16,4
A,2018-03-01T08:56:00,American Airlines,3068,B1A,4
A,2018-03-01T08:56:00,American Airlines,552,A9,4
A,2018-03-01T08:56:00,American Airlines,5760,A1,4
A,2018-03-01T08:57:00,American Airlines,1398,A14,4
A,2018-03-01T08:57:00,American Airlines,1540,A21,4
A,2018-03-01T08:59:00,American Airlines,3071,B2,4
A,2018-03-01T09:00:00,Southwest Airlines,2111,C8,4
A,2018-03-01T09:02:00,American Airlines,567,A23,4
A,2018-03-01T09:02:00,American Airlines,1639,B8,4
A,2018-03-01T09:04:00,American Airlines,595,A27,4
A,2018-03-01T09:04:00,American Airlines,3132,B15B,4
A,2018-03-01T09:04:00,American Airlines,5763,B19,4
D,2018-03-01T09:05:00,American Airlines,1925,A6,4
D,2018-03-01T09:05:00,Southwest Airlines,187,C11,4
D,2018-03-01T09:05:00,Southwest Airlines,705,D5,4
A,2018-03-01T09:05:00,American Airlines,5896,B20,4
A,2018-03-01T09:05:00,American Airlines,649,B28,4
A,2018-03-01T09:05:00,Southwest Airlines,1792,C7,4
D,2018-03-01T09:10:00,Southwest Airlines,6034,D3,4
A,2018-03-01T09:10:00,Southwest Airlines,371,C9,4
A,2018-03-01T09:14:00,American Airlines,422,A6,4
A,2018-03-01T09:15:00,Southwest Airlines,2086,D4,4
A,2018-03-01T09:15:00,Southwest Airlines,1370,C19,4
A,2018-03-01T09:17:00,American Airlines,5810,B15A,4
A,2018-03-01T09:19:00,United Airlines,368,5,2
A,2018-03-01T09:20:00,Southwest Airlines,2037,D1,4
A,2018-03-01T09:20:00,Southwest Airlines,1410,C6,4
A,2018-03-01T09:20:00,Southwest Airlines,1382,D5,4
A,2018-03-01T09:24:00,American Airlines,2754,B26,4
A,2018-03-01T09:25:00,Delta Air Lines,1412,18,3
A,2018-03-01T09:25:00,Southwest Airlines,1408,C3,4
A,2018-03-01T09:25:00,Southwest Airlines,2091,D7,4
A,2018-03-01T09:25:00,Southwest Airlines,1578,C16,4
A,2018-03-01T09:29:00,American Airlines,5909,B24,4
A,2018-03-01T09:30:00,Southwest Airlines,1765,C4,4
A,2018-03-01T09:30:00,Southwest Airlines,775,C13,4
A,2018-03-01T09:30:00,Southwest Airlines,1750,C11,4
A,2018-03-01T09:30:00,Southwest Airlines,1633,D8,4
D,2018-03-01T09:35:00,American Airlines,532,B6,4
D,2018-03-01T09:35:00,American Airlines,572,B12,4
D,2018-03-01T09:35:00,American Airlines,619,A8,4
D,2018-03-01T09:35:00,American Airlines,3058,B17,4
D,2018-03-01T09:35:00,American Airlines,3079,B1,4
D,2018-03-01T09:35:00,Southwest Airlines,540,D6,4
D,2018-03-01T09:37:00,American Airlines,595,A24,4
D,2018-03-01T09:38:00,American Airlines,5839,B7,4
D,2018-03-01T09:39:00,American Airlines,1840,B4,4
D,2018-03-01T09:40:00,American Airlines,1650,A4,4
D,2018-03-01T09:40:00,American Airlines,515,A26,4
D,2018-03-01T09:40:00,American Airlines,1100,B14,4
D,2018-03-01T09:40:00,American Airlines,3011,B1A,4
D,2018-03-01T09:40:00,American Airlines,5853,B16,4
A,2018-03-01T09:40:00,Southwest Airlines,1695,C14,4
A,2018-03-01T09:40:00,Southwest Airlines,1743,D2,4
D,2018-03-01T09:41:00,American Airlines,1073,B13,4
D,2018-03-01T09:42:00,American Airlines,3022,B21,4
D,2018-03-01T09:45:00,American Airlines,646,A7,4
D,2018-03-01T09:45:00,American Airlines,665,B10,4
D,2018-03-01T09:45:00,American Airlines,5757,B19,4
D,2018-03-01T09:45:00,American Airlines,5875,B18,4
