arrive_or_depart,schedule,airline,flight_number,gate,terminal
A,2018-05-01T00:05:00,Southwest Airlines,608,D3,4
D,2018-05-01T00:05:00,Delta Air Lines,2160,23,3
A,2018-05-01T00:09:00,United Airlines,5663,3,2
A,2018-05-01T00:14:00,Alaska Airlines,632,10,2
D,2018-05-01T00:20:00,American Airlines,408,A13,4
D,2018-05-01T00:22:00,Frontier Airlines,1274,20,3
A,2018-05-01T00:25:00,Southwest Airlines,1585,C4,4
D,2018-05-01T00:50:00,Spirit Airlines,972,2,2
D,2018-05-01T01:15:00,American Airlines,1771,A3,4
D,2018-05-01T05:00:00,American Airlines,628,A23,4
D,2018-05-01T05:05:00,Southwest Airlines,753,D7,4
D,2018-05-01T05:05:00,Southwest Airlines,1334,C3,4
D,2018-05-01T05:10:00,Southwest Airlines,2105,D2,4
D,2018-05-01T05:15:00,Southwest Airlines,935,C19,4
D,2018-05-01T05:15:00,American Airlines,2744,A18,4
D,2018-05-01T05:15:00,Southwest Airlines,1787,C3,4
D,2018-05-01T05:20:00,American Airlines,542,A5,4
D,2018-05-01T05:30:00,Southwest Airlines,1082,D3,4
D,2018-05-01T05:45:00,United Airlines,2416,8,2
D,2018-05-01T05:55:00,Southwest Airlines,1017,C4,4
A,2018-05-01T05:57:00,American Airlines,1945,A20,4
D,2018-05-01T06:00:00,Southwest Airlines,410,D1,4
D,2018-05-01T06:00:00,American Airlines,2996,B3,4
D,2018-05-01T06:00:00,Delta Air Lines,824,16,3
D,2018-05-01T06:00:00,Delta Air Lines,5710,17,3
D,2018-05-01T06:00:00,United Airlines,5326,3,2
A,2018-05-01T06:00:00,Southwest Airlines,1506,D2,4
D,2018-05-01T06:00:00,Alaska Airlines,631,,2
D,2018-05-01T06:05:00,Delta Air Lines,1994,18,3
D,2018-05-01T06:05:00,Frontier Airlines,1608,20,3
D,2018-05-01T06:05:00,Southwest Airlines,1897,D8,4
A,2018-05-01T06:05:00,Southwest Airlines,1460,D4,4
A,2018-05-01T06:05:00,Southwest Airlines,766,C8,4
D,2018-05-01T06:10:00,Alaska Airlines,959,10,2
D,2018-05-01T06:10:00,Delta Air Lines,1747,23,3
D,2018-05-01T06:10:00,United Airlines,1774,6B,2
D,2018-05-01T06:15:00,Southwest Airlines,5248,C16,4
A,2018-05-01T06:15:00,Southwest Airlines,824,D3,4
D,2018-05-01T06:20:00,Southwest Airlines,5169,C17,4
D,2018-05-01T06:23:00,United Airlines,2083,5,2
D,2018-05-01T06:30:00,American Airlines,581,A3,4
