arrive_or_depart,schedule,airline,flight_number,gate,terminal
D,2019-11-01T08:00:00,Hawaiian Airlines,35,F10A,3
D,2019-11-01T07:00:00,WestJet,1499,B23,4
D,2019-11-01T06:01:00,Delta Air Lines,970,F1,3
D,2019-11-01T00:35:00,Frontier Airlines,1426,F1,3
D,2019-11-01T06:02:00,Frontier Airlines,2822,F2,3
D,2019-11-01T00:53:00,Spirit Airlines,972,F10,3
D,2019-11-01T06:15:00,Delta Air Lines,1453,F5,3
D,2019-11-01T06:02:00,Delta Air Lines,1994,F3,3
D,2019-11-01T06:00:00,Delta Air Lines,848,F8,3
D,2019-11-01T07:40:00,Delta Air Lines,5751,F7,3
D,2019-11-01T06:00:00,Delta Air Lines,5809,F9,3
D,2019-11-01T07:00:00,Delta Air Lines,909,F6,3
D,2019-11-01T09:16:00,Delta Air Lines,2662,F4,3
A,2019-11-01T11:48:00,Volaris,364,B28,4
A,2019-11-01T15:59:00,Volaris,974,B26,4
D,2019-11-01T13:08:00,Volaris,365,B28,4
D,2019-11-01T17:24:00,Volaris,975,B26,4
A,2019-11-01T23:53:00,Spirit Airlines,971,F10,3
D,2019-11-01T06:10:00,Southwest Airlines,17,D5,4
D,2019-11-01T11:00:00,Southwest Airlines,101,D4,4
D,2019-11-01T21:05:00,Southwest Airlines,102,D2,4
D,2019-11-01T08:30:00,Southwest Airlines,127,C14,4
D,2019-11-01T10:00:00,Southwest Airlines,136,C16,4
D,2019-11-01T06:30:00,Southwest Airlines,139,D2,4
D,2019-11-01T06:05:00,Southwest Airlines,154,C14,4
D,2019-11-01T17:00:00,Southwest Airlines,159,C6,4
D,2019-11-01T20:50:00,Southwest Airlines,180,C8,4
D,2019-11-01T08:30:00,Southwest Airlines,195,C6,4
D,2019-11-01T15:40:00,Southwest Airlines,200,C17,4
D,2019-11-01T15:05:00,Southwest Airlines,214,C6,4
D,2019-11-01T11:55:00,Southwest Airlines,215,C3,4
D,2019-11-01T10:25:00,Southwest Airlines,217,D4,4
D,2019-11-01T21:00:00,Southwest Airlines,249,D5,4
D,2019-11-01T07:00:00,Southwest Airlines,277,D8,4
D,2019-11-01T18:45:00,Southwest Airlines,291,C12,4
D,2019-11-01T08:35:00,Southwest Airlines,296,C18,4
D,2019-11-01T15:40:00,Southwest Airlines,310,C1,4
D,2019-11-01T12:35:00,Southwest Airlines,343,D4,4
D,2019-11-01T08:25:00,Southwest Airlines,378,C16,4
D,2019-11-01T09:05:00,Southwest Airlines,382,D8,4
D,2019-11-01T19:15:00,Southwest Airlines,385,C16,4
D,2019-11-01T14:40:00,Southwest Airlines,398,C1,4
D,2019-11-01T19:15:00,Southwest Airlines,423,C8,4
D,2019-11-01T09:00:00,Southwest Airlines,461,D2,4
D,2019-11-01T10:40:00,Southwest Airlines,477,D7,4
D,2019-11-01T06:20:00,Southwest Airlines,488,D4,4
D,2019-11-01T10:00:00,Southwest Airlines,489,C19,4
D,2019-11-01T11:30:00,Southwest Airlines,498,C7,4
D,2019-11-01T13:45:00,Southwest Airlines,516,C1,4
D,2019-11-01T18:10:00,Southwest Airlines,534,D4,4
D,2019-11-01T17:05:00,Southwest Airlines,544,C17,4
D,2019-11-01T21:10:00,Southwest Airlines,561,C9,4
D,2019-11-01T21:20:00,Southwest Airlines,608,C3,4
D,2019-11-01T17:20:00,Southwest Airlines,610,C7,4
D,2019-11-01T10:30:00,Southwest Airlines,615,C11,4
D,2019-11-01T12:20:00,Southwest Airlines,617,C13,4
D,2019-11-01T16:40:00,Southwest Airlines,627,C6,4
D,2019-11-01T20:20:00,Southwest Airlines,633,C16,4
D,2019-11-01T11:45:00,Southwest Airlines,644,D2,4
D,2019-11-01T13:40:00,Southwest Airlines,651,C7,4
D,2019-11-01T17:50:00,Southwest Airlines,652,C1,4
D,2019-11-01T18:15:00,Southwest Airlines,664,C16,4
D,2019-11-01T08:35:00,Southwest Airlines,686,D6,4
D,2019-11-01T12:25:00,Southwest Airlines,690,C9,4
D,2019-11-01T10:50:00,Southwest Airlines,711,C9,4
D,2019-11-01T07:30:00,Southwest Airlines,744,C1,4
D,2019-11-01T11:50:00,Southwest Airlines,766,C8,4
D,2019-11-01T07:10:00,Southwest Airlines,791,D3,4
D,2019-11-01T21:55:00,Southwest Airlines,799,C4,4
D,2019-11-01T12:50:00,Southwest Airlines,820,C3,4
D,2019-11-01T09:55:00,Southwest Airlines,823,C12,4
D,2019-11-01T09:05:00,Southwest Airlines,830,D4,4
D,2019-11-01T08:25:00,Southwest Airlines,858,C1,4
D,2019-11-01T13:20:00,Southwest Airlines,878,C17,4
D,2019-11-01T07:05:00,Southwest Airlines,882,C17,4
D,2019-11-01T11:35:00,Southwest Airlines,904,C19,4
D,2019-11-01T17:15:00,Southwest Airlines,961,C12,4
D,2019-11-01T12:15:00,Southwest Airlines,965,C1,4
D,2019-11-01T16:00:00,Southwest Airlines,971,C16,4
D,2019-11-01T06:05:00,Southwest Airlines,990,C9,4
D,2019-11-01T14:15:00,Southwest Airlines,991,D7,4
D,2019-11-01T20:50:00,Southwest Airlines,997,D6,4
D,2019-11-01T13:25:00,Southwest Airlines,1017,C8,4
D,2019-11-01T10:40:00,Southwest Airlines,1020,D6,4
D,2019-11-01T13:30:00,Southwest Airlines,1030,C6,4
D,2019-11-01T10:45:00,Southwest Airlines,1034,C8,4
D,2019-11-01T08:25:00,Southwest Airlines,1199,C9,4
D,2019-11-01T19:10:00,Southwest Airlines,1209,C7,4
D,2019-11-01T15:00:00,Southwest Airlines,1219,C14,4
D,2019-11-01T06:00:00,Southwest Airlines,1220,C19,4
D,2019-11-01T10:40:00,Southwest Airlines,1279,D2,4
D,2019-11-01T08:10:00,Southwest Airlines,1293,C7,4
D,2019-11-01T12:55:00,Southwest Airlines,1339,C19,4
D,2019-11-01T08:30:00,Southwest Airlines,1343,D3,4
D,2019-11-01T15:25:00,Southwest Airlines,1354,D2,4
D,2019-11-01T06:45:00,Southwest Airlines,1358,D6,4
D,2019-11-01T10:50:00,Southwest Airlines,1372,C3,4
D,2019-11-01T11:50:00,Southwest Airlines,1397,D7,4
D,2019-11-01T18:55:00,Southwest Airlines,1404,C18,4
D,2019-11-01T10:50:00,Southwest Airlines,1406,C12,4
D,2019-11-01T15:45:00,Southwest Airlines,1415,C7,4
D,2019-11-01T10:45:00,Southwest Airlines,1431,D8,4
D,2019-11-01T14:25:00,Southwest Airlines,1436,D4,4
D,2019-11-01T08:05:00,Southwest Airlines,1484,C14,4
D,2019-11-01T13:45:00,Southwest Airlines,1541,C18,4
D,2019-11-01T14:10:00,Southwest Airlines,1557,C12,4
D,2019-11-01T21:15:00,Southwest Airlines,1576,D4,4
D,2019-11-01T14:05:00,Southwest Airlines,1582,D5,4
D,2019-11-01T09:30:00,Southwest Airlines,1585,C17,4
D,2019-11-01T19:00:00,Southwest Airlines,1602,D5,4
D,2019-11-01T19:15:00,Southwest Airlines,1655,C1,4
D,2019-11-01T17:55:00,Southwest Airlines,1656,C8,4
D,2019-11-01T16:40:00,Southwest Airlines,1662,D7,4
D,2019-11-01T08:50:00,Southwest Airlines,1672,C8,4
D,2019-11-01T15:45:00,Southwest Airlines,1673,D5,4
D,2019-11-01T21:25:00,Southwest Airlines,1704,C16,4
D,2019-11-01T16:15:00,Southwest Airlines,1713,C3,4
D,2019-11-01T12:20:00,Southwest Airlines,1722,D8,4
D,2019-11-01T19:25:00,Southwest Airlines,1757,D4,4
D,2019-11-01T09:10:00,Southwest Airlines,1833,C14,4
D,2019-11-01T10:40:00,Southwest Airlines,1838,D3,4
D,2019-11-01T08:35:00,Southwest Airlines,1855,C12,4
D,2019-11-01T12:40:00,Southwest Airlines,1875,C16,4
D,2019-11-01T19:00:00,Southwest Airlines,1876,D6,4
D,2019-11-01T19:05:00,Southwest Airlines,1899,D8,4
D,2019-11-01T06:10:00,Southwest Airlines,1900,C7,4
D,2019-11-01T07:00:00,Southwest Airlines,1905,C18,4
D,2019-11-01T20:05:00,Southwest Airlines,1912,C3,4
D,2019-11-01T20:55:00,Southwest Airlines,1931,C1,4
D,2019-11-01T05:35:00,Southwest Airlines,1944,C18,4
D,2019-11-01T12:10:00,Southwest Airlines,1949,C17,4
D,2019-11-01T06:45:00,Southwest Airlines,1952,C11,4
D,2019-11-01T11:20:00,Southwest Airlines,1992,C18,4
D,2019-11-01T16:35:00,Southwest Airlines,2014,D4,4
D,2019-11-01T22:05:00,Southwest Airlines,2082,D8,4
D,2019-11-01T16:10:00,Southwest Airlines,2103,D6,4
D,2019-11-01T21:25:00,Southwest Airlines,2120,C14,4
D,2019-11-01T16:25:00,Southwest Airlines,2136,C9,4
D,2019-11-01T15:55:00,Southwest Airlines,2178,D8,4
D,2019-11-01T13:20:00,Southwest Airlines,2191,D2,4
D,2019-11-01T10:45:00,Southwest Airlines,2209,C14,4
D,2019-11-01T10:15:00,Southwest Airlines,2222,C7,4
D,2019-11-01T15:45:00,Southwest Airlines,2225,C18,4
D,2019-11-01T07:10:00,Southwest Airlines,2271,D6,4
D,2019-11-01T21:05:00,Southwest Airlines,2272,D7,4
D,2019-11-01T08:35:00,Southwest Airlines,2279,D7,4
D,2019-11-01T21:10:00,Southwest Airlines,2283,D8,4
D,2019-11-01T18:35:00,Southwest Airlines,2286,C6,4
D,2019-11-01T08:35:00,Southwest Airlines,2298,C7,4
D,2019-11-01T08:50:00,Southwest Airlines,2303,D5,4
D,2019-11-01T06:00:00,Southwest Airlines,2304,D7,4
D,2019-11-01T20:35:00,Southwest Airlines,2306,C6,4
D,2019-11-01T12:15:00,Southwest Airlines,2323,D5,4
D,2019-11-01T19:20:00,Southwest Airlines,2366,D2,4
D,2019-11-01T14:55:00,Southwest Airlines,2373,C9,4
D,2019-11-01T14:10:00,Southwest Airlines,2385,D8,4
D,2019-11-01T10:45:00,Southwest Airlines,2407,C1,4
D,2019-11-01T20:45:00,Southwest Airlines,2415,C19,4
D,2019-11-01T09:40:00,Southwest Airlines,2441,D5,4
D,2019-11-01T06:10:00,Southwest Airlines,2469,C8,4
D,2019-11-01T14:25:00,Southwest Airlines,2475,D6,4
D,2019-11-01T10:45:00,Southwest Airlines,2476,C6,4
D,2019-11-01T20:25:00,Southwest Airlines,2490,C12,4
D,2019-11-01T19:50:00,Southwest Airlines,2571,D7,4
D,2019-11-01T19:05:00,Southwest Airlines,2600,C14,4
D,2019-11-01T16:30:00,Southwest Airlines,2664,C19,4
D,2019-11-01T18:05:00,Southwest Airlines,2715,C3,4
D,2019-11-01T16:15:00,Southwest Airlines,2717,C8,4
D,2019-11-01T08:55:00,Southwest Airlines,2790,C4,4
D,2019-11-01T14:35:00,Southwest Airlines,2809,C16,4
D,2019-11-01T13:05:00,Southwest Airlines,2929,D6,4
D,2019-11-01T07:20:00,Southwest Airlines,2945,C19,4
D,2019-11-01T07:55:00,Southwest Airlines,2988,D4,4
D,2019-11-01T18:55:00,Southwest Airlines,3125,C17,4
D,2019-11-01T17:35:00,Southwest Airlines,3129,D2,4
D,2019-11-01T19:35:00,Southwest Airlines,3163,C6,4
D,2019-11-01T18:55:00,Southwest Airlines,3196,D7,4
D,2019-11-01T18:45:00,Southwest Airlines,3218,C19,4
D,2019-11-01T19:40:00,Southwest Airlines,3228,C19,4
D,2019-11-01T06:50:00,Southwest Airlines,3234,D7,4
D,2019-11-01T15:20:00,Southwest Airlines,3286,C19,4
D,2019-11-01T21:00:00,Southwest Airlines,3656,C7,4
D,2019-11-01T06:55:00,Southwest Airlines,4450,C9,4
D,2019-11-01T08:30:00,Southwest Airlines,4465,C3,4
D,2019-11-01T16:25:00,Southwest Airlines,4656,C12,4
D,2019-11-01T07:40:00,Southwest Airlines,4659,D5,4
D,2019-11-01T14:30:00,Southwest Airlines,5245,C3,4
D,2019-11-01T21:55:00,Southwest Airlines,5266,D6,4
D,2019-11-01T17:55:00,Southwest Airlines,6299,D8,4
D,2019-11-01T10:45:00,Southwest Airlines,6465,D5,4
D,2019-11-01T10:55:00,Southwest Airlines,6545,C17,4
D,2019-11-01T19:00:00,Southwest Airlines,6987,C9,4
A,2019-11-01T10:05:00,Southwest Airlines,101,D5,4
A,2019-11-01T20:10:00,Southwest Airlines,102,D2,4
A,2019-11-01T08:15:00,Southwest Airlines,105,D5,4
A,2019-11-01T13:55:00,Southwest Airlines,130,C1,4
A,2019-11-01T09:05:00,Southwest Airlines,136,C16,4
A,2019-11-01T23:00:00,Southwest Airlines,138,C6,4
A,2019-11-01T23:25:00,Southwest Airlines,174,D8,4
A,2019-11-01T20:15:00,Southwest Airlines,180,C7,4
A,2019-11-01T07:45:00,Southwest Airlines,195,C7,4
A,2019-11-01T14:55:00,Southwest Airlines,200,C17,4
A,2019-11-01T11:15:00,Southwest Airlines,215,C3,4
A,2019-11-01T09:50:00,Southwest Airlines,217,D4,4
A,2019-11-01T20:05:00,Southwest Airlines,249,D5,4
A,2019-11-01T22:20:00,Southwest Airlines,270,C1,4
A,2019-11-01T17:55:00,Southwest Airlines,291,C12,4
A,2019-11-01T07:45:00,Southwest Airlines,296,C18,4
A,2019-11-01T18:35:00,Southwest Airlines,301,C8,4
A,2019-11-01T15:00:00,Southwest Airlines,310,C1,4
A,2019-11-01T08:30:00,Southwest Airlines,334,D8,4
A,2019-11-01T11:55:00,Southwest Airlines,343,D4,4
A,2019-11-01T07:30:00,Southwest Airlines,377,C9,4
A,2019-11-01T18:40:00,Southwest Airlines,385,C16,4
A,2019-11-01T20:05:00,Southwest Airlines,437,D8,4
A,2019-11-01T07:55:00,Southwest Airlines,439,C7,4
A,2019-11-01T07:35:00,Southwest Airlines,460,C8,4
A,2019-11-01T09:55:00,Southwest Airlines,477,D7,4
A,2019-11-01T20:00:00,Southwest Airlines,478,C18,4
A,2019-11-01T09:20:00,Southwest Airlines,489,C19,4
A,2019-11-01T10:35:00,Southwest Airlines,498,D4,4
A,2019-11-01T13:05:00,Southwest Airlines,516,C1,4
A,2019-11-01T13:35:00,Southwest Airlines,532,D4,4
A,2019-11-01T17:35:00,Southwest Airlines,534,D4,4
A,2019-11-01T16:25:00,Southwest Airlines,544,C17,4
A,2019-11-01T09:00:00,Southwest Airlines,546,C9,4
A,2019-11-01T23:05:00,Southwest Airlines,559,C3,4
A,2019-11-01T20:35:00,Southwest Airlines,561,C9,4
A,2019-11-01T11:40:00,Southwest Airlines,617,C14,4
A,2019-11-01T19:40:00,Southwest Airlines,633,C16,4
A,2019-11-01T23:15:00,Southwest Airlines,641,C4,4
A,2019-11-01T10:50:00,Southwest Airlines,644,D2,4
A,2019-11-01T13:00:00,Southwest Airlines,689,C7,4
A,2019-11-01T21:50:00,Southwest Airlines,712,C16,4
A,2019-11-01T06:55:00,Southwest Airlines,744,C12,4
A,2019-11-01T12:20:00,Southwest Airlines,753,D2,4
A,2019-11-01T16:35:00,Southwest Airlines,754,C7,4
A,2019-11-01T20:00:00,Southwest Airlines,755,C1,4
A,2019-11-01T11:00:00,Southwest Airlines,766,C8,4
A,2019-11-01T22:55:00,Southwest Airlines,777,D6,4
A,2019-11-01T18:30:00,Southwest Airlines,797,C7,4
A,2019-11-01T21:20:00,Southwest Airlines,799,C4,4
A,2019-11-01T23:00:00,Southwest Airlines,801,D4,4
A,2019-11-01T12:10:00,Southwest Airlines,820,C3,4
A,2019-11-01T08:15:00,Southwest Airlines,830,D4,4
A,2019-11-01T07:35:00,Southwest Airlines,858,C1,4
A,2019-11-01T12:35:00,Southwest Airlines,878,C17,4
A,2019-11-01T13:15:00,Southwest Airlines,883,D7,4
A,2019-11-01T10:55:00,Southwest Airlines,904,D6,4
A,2019-11-01T18:55:00,Southwest Airlines,940,C6,4
A,2019-11-01T16:05:00,Southwest Airlines,945,C19,4
A,2019-11-01T20:00:00,Southwest Airlines,964,C6,4
A,2019-11-01T11:35:00,Southwest Airlines,965,C1,4
A,2019-11-01T15:20:00,Southwest Airlines,971,C16,4
A,2019-11-01T19:55:00,Southwest Airlines,997,D6,4
A,2019-11-01T12:45:00,Southwest Airlines,1017,C6,4
A,2019-11-01T09:45:00,Southwest Airlines,1020,D6,4
A,2019-11-01T09:50:00,Southwest Airlines,1034,C8,4
A,2019-11-01T20:05:00,Southwest Airlines,1056,C19,4
A,2019-11-01T22:30:00,Southwest Airlines,1133,C19,4
A,2019-11-01T14:15:00,Southwest Airlines,1219,C14,4
A,2019-11-01T16:55:00,Southwest Airlines,1261,C1,4
A,2019-11-01T09:55:00,Southwest Airlines,1279,D2,4
