arrive_or_depart,schedule,airline,flight_number,gate,terminal
D,2018-10-01T10:49:00,United Airlines,1680,3,2
D,2018-10-01T10:50:00,Southwest Airlines,1279,D8,4
A,2018-10-01T10:50:00,Southwest Airlines,3793,C17,4
D,2018-10-01T10:50:00,American Airlines,684,A30,4
A,2018-10-01T10:53:00,American Airlines,2008,DX,4
D,2018-10-01T10:55:00,Southwest Airlines,6902,C16,4
A,2018-10-01T10:55:00,Southwest Airlines,1369,C6,4
A,2018-10-01T10:55:00,Southwest Airlines,1674,D5,4
A,2018-10-01T11:00:00,Southwest Airlines,2847,C3,4
D,2018-10-01T11:05:00,Southwest Airlines,6956,D7,4
A,2018-10-01T11:05:00,Southwest Airlines,3744,D2,4
A,2018-10-01T11:05:00,Southwest Airlines,4902,D6,4
D,2018-10-01T11:05:00,American Airlines,1885,A3,4
D,2018-10-01T11:05:00,WestJet,1533,B26,4
A,2018-10-01T11:05:00,American Airlines,3142,B2,4
A,2018-10-01T11:05:00,American Airlines,2022,DX,4
A,2018-10-01T11:09:00,Air Canada,1890,B23,4
A,2018-10-01T11:09:00,American Airlines,474,A20,4
A,2018-10-01T11:09:00,American Airlines,452,A7,4
A,2018-10-01T11:09:00,American Airlines,2497,DX,4
A,2018-10-01T11:10:00,Southwest Airlines,1653,C7,4
A,2018-10-01T11:10:00,Southwest Airlines,4828,D4,4
D,2018-10-01T11:10:00,Delta Air Lines,2201,19,3
A,2018-10-01T11:10:00,American Airlines,497,DX,4
A,2018-10-01T11:11:00,American Airlines,687,A21,4
A,2018-10-01T11:11:00,American Airlines,1351,DX,4
A,2018-10-01T11:12:00,American Airlines,1332,B6,4
A,2018-10-01T11:14:00,American Airlines,486,A10,4
D,2018-10-01T11:15:00,Southwest Airlines,3348,C1,4
A,2018-10-01T11:15:00,Southwest Airlines,4218,C19,4
A,2018-10-01T11:15:00,American Airlines,2521,DX,4
A,2018-10-01T11:18:00,American Airlines,425,DX,4
A,2018-10-01T11:19:00,American Airlines,1402,B11,4
A,2018-10-01T11:19:00,American Airlines,2473,DX,4
D,2018-10-01T11:20:00,United Airlines,523,5,2
A,2018-10-01T11:20:00,American Airlines,1868,A24,4
A,2018-10-01T11:21:00,American Airlines,438,A22,4
A,2018-10-01T11:21:00,American Airlines,615,A18,4
A,2018-10-01T11:21:00,American Airlines,1018,DX,4
A,2018-10-01T11:21:00,American Airlines,2114,DX,4
A,2018-10-01T11:22:00,American Airlines,5873,B20,4
A,2018-10-01T11:23:00,American Airlines,711,A6,4
A,2018-10-01T11:23:00,American Airlines,5915,DX,4
A,2018-10-01T11:23:00,American Airlines,1171,DX,4
A,2018-10-01T11:24:00,American Airlines,2519,A11,4
D,2018-10-01T11:25:00,Southwest Airlines,1309,C17,4
D,2018-10-01T11:25:00,Southwest Airlines,6105,D3,4
A,2018-10-01T11:25:00,American Airlines,5850,B16,4
A,2018-10-01T11:25:00,American Airlines,3010,DX,4
A,2018-10-01T11:25:00,American Airlines,3025,DX,4
A,2018-10-01T11:26:00,American Airlines,2978,A1,4
A,2018-10-01T11:27:00,American Airlines,5916,DX,4
A,2018-10-01T11:28:00,American Airlines,1465,A19,4
A,2018-10-01T11:29:00,American Airlines,829,B4,4
A,2018-10-01T11:29:00,American Airlines,2994,B3,4
A,2018-10-01T11:29:00,American Airlines,217,DX,4
D,2018-10-01T11:30:00,Southwest Airlines,261,C11,4
D,2018-10-01T11:30:00,Southwest Airlines,1681,D5,4
D,2018-10-01T11:30:00,Southwest Airlines,6035,C6,4
A,2018-10-01T11:30:00,Southwest Airlines,4071,C18,4
D,2018-10-01T11:30:00,Delta Air Lines,518,18,3
A,2018-10-01T11:30:00,American Airlines,5895,DX,4
A,2018-10-01T11:33:00,American Airlines,445,A8,4
A,2018-10-01T11:33:00,American Airlines,2045,A23,4
A,2018-10-01T11:34:00,American Airlines,5802,B18,4
A,2018-10-01T11:36:00,American Airlines,5743,B19,4
A,2018-10-01T11:38:00,American Airlines,501,DX,4
D,2018-10-01T11:40:00,Southwest Airlines,5252,C13,4
A,2018-10-01T11:40:00,Southwest Airlines,6315,C8,4
D,2018-10-01T11:40:00,Delta Air Lines,1874,17,3
A,2018-10-01T11:42:00,American Airlines,2105,A4,4
A,2018-10-01T11:42:00,American Airlines,5796,B21,4
A,2018-10-01T11:43:00,Delta Air Lines,2764,23,3
D,2018-10-01T11:45:00,Southwest Airlines,2847,C3,4
D,2018-10-01T11:45:00,Southwest Airlines,4903,D6,4
A,2018-10-01T11:46:00,Alaska Airlines,644,10,2
D,2018-10-01T11:50:00,Southwest Airlines,1653,C7,4
D,2018-10-01T11:50:00,Southwest Airlines,5918,D4,4
A,2018-10-01T11:50:00,Southwest Airlines,6522,C9,4
A,2018-10-01T12:00:00,Southwest Airlines,5503,D3,4
A,2018-10-01T12:00:00,Southwest Airlines,6013,D5,4
D,2018-10-01T12:00:00,Air Canada,1891,B23,4
A,2018-10-01T12:02:00,WestJet,1402,B26,4
D,2018-10-01T12:05:00,Southwest Airlines,3744,D2,4
D,2018-10-01T12:05:00,Southwest Airlines,3991,C19,4
A,2018-10-01T12:05:00,Southwest Airlines,1350,C11,4
A,2018-10-01T12:05:00,Southwest Airlines,6244,C6,4
A,2018-10-01T12:10:00,Southwest Airlines,6020,C1,4
D,2018-10-01T12:10:00,American Airlines,727,A20,4
D,2018-10-01T12:10:00,American Airlines,6003,B16,4
D,2018-10-01T12:12:00,American Airlines,2983,A1,4
D,2018-10-01T12:13:00,American Airlines,5834,B20,4
A,2018-10-01T12:14:00,United Airlines,739,5,2
D,2018-10-01T12:16:00,American Airlines,460,A21,4
A,2018-10-01T12:16:00,American Airlines,2371,A9,4
D,2018-10-01T12:17:00,American Airlines,3137,B3,4
D,2018-10-01T12:18:00,American Airlines,1380,A25,4
D,2018-10-01T12:19:00,American Airlines,1780,A7,4
A,2018-10-01T12:20:00,Southwest Airlines,2808,C17,4
D,2018-10-01T12:20:00,American Airlines,1743,A18,4
D,2018-10-01T12:20:00,American Airlines,5902,B19,4
D,2018-10-01T12:22:00,American Airlines,1200,B6,4
D,2018-10-01T12:25:00,Southwest Airlines,4071,C18,4
D,2018-10-01T12:25:00,Southwest Airlines,6315,C8,4
A,2018-10-01T12:25:00,Southwest Airlines,6798,D7,4
D,2018-10-01T12:25:00,American Airlines,2519,A11,4
A,2018-10-01T12:25:00,American Airlines,1970,A3,4
D,2018-10-01T12:26:00,American Airlines,5945,B1A,4
D,2018-10-01T12:27:00,American Airlines,570,A10,4
A,2018-10-01T12:28:00,American Airlines,2615,DX,4
D,2018-10-01T12:30:00,Southwest Airlines,6522,C9,4
D,2018-10-01T12:30:00,American Airlines,2027,B4,4
D,2018-10-01T12:30:00,American Airlines,2434,A19,4
D,2018-10-01T12:30:00,American Airlines,5754,B18,4
D,2018-10-01T12:30:00,Air Canada,1836,B25,4
A,2018-10-02T08:05:00,American Airlines,5909,,4
A,2018-10-02T08:05:00,American Airlines,5810,,4
A,2018-10-02T08:06:00,American Airlines,201,B26,4
A,2018-10-02T08:07:00,American Airlines,648,DX,4
D,2018-10-02T08:10:00,Southwest Airlines,1642,D6,4
D,2018-10-02T08:10:00,Southwest Airlines,2955,C1,4
D,2018-10-02T08:10:00,Southwest Airlines,6573,C17,4
A,2018-10-02T08:12:00,American Airlines,5928,B3,4
A,2018-10-02T08:13:00,American Airlines,761,A4,4
A,2018-10-02T08:13:00,United Airlines,581,7,2
D,2018-10-02T08:15:00,Southwest Airlines,1587,C13,4
D,2018-10-02T08:15:00,Southwest Airlines,4180,C6,4
D,2018-10-02T08:20:00,Southwest Airlines,2863,C16,4
D,2018-10-02T08:20:00,United Airlines,316,8,2
A,2018-10-02T08:22:00,American Airlines,5835,B15A,4
D,2018-10-02T08:25:00,Southwest Airlines,2575,D3,4
D,2018-10-02T08:25:00,Southwest Airlines,6046,D4,4
A,2018-10-02T08:25:00,Southwest Airlines,1016,D8,4
A,2018-10-02T08:25:00,Southwest Airlines,3386,C11,4
D,2018-10-02T08:28:00,American Airlines,1696,A13,4
D,2018-10-02T08:30:00,Southwest Airlines,2028,C19,4
D,2018-10-02T08:30:00,Southwest Airlines,4045,D5,4
A,2018-10-02T08:30:00,Southwest Airlines,1471,C7,4
