arrive_or_depart,schedule,airline,flightnumber,gate,terminal
D,2015-09-01T00:35:00,US Airways,771,A20,4
D,2015-09-01T00:50:00,US Airways,1746,A11,4
D,2015-09-01T00:55:00,Spirit Airlines,972,2,2
D,2015-09-01T00:59:00,American Airlines,2216,B7,4
D,2015-09-01T01:10:00,US Airways,1772,A3,4
D,2015-09-01T05:00:00,American Airlines,1388,B6,4
D,2015-09-01T05:02:00,Frontier Airlines,748,20,3
D,2015-09-01T05:05:00,US Airways,476,A21,4
D,2015-09-01T05:30:00,Southwest Airlines,225,C4,4
D,2015-09-01T05:35:00,American Airlines,2380,B11,4
D,2015-09-01T05:40:00,Southwest Airlines,2787,C19,4
D,2015-09-01T05:45:00,Southwest Airlines,2412,C8,4
D,2015-09-01T05:50:00,Southwest Airlines,2832,D1,4
D,2015-09-01T05:50:00,Southwest Airlines,2941,C11,4
A,2015-09-01T06:00:00,Southwest Airlines,416,C1,4
D,2015-09-01T06:00:00,Alaska Airlines,631,11,2
D,2015-09-01T06:00:00,Delta Air Lines,1994,18,3
D,2015-09-01T06:00:00,American Eagle,5893,B18,4
D,2015-09-01T06:00:00,Southwest Airlines,1494,C9,4
D,2015-09-01T06:00:00,Southwest Airlines,3151,C18,4
D,2015-09-01T06:05:00,Delta Air Lines,824,15,3
D,2015-09-01T06:15:00,Southwest Airlines,729,C6,4
D,2015-09-01T06:15:00,Southwest Airlines,2504,C7,4
D,2015-09-01T06:15:00,Delta Connection,4755,17,3
D,2015-09-01T06:21:00,United Airlines,1148,8,2
A,2015-09-01T06:24:00,US Airways Express,5605,B16,4
A,2015-09-01T06:25:00,Southwest Airlines,2542,C16,4
D,2015-09-01T06:25:00,American Airlines,48,B13,4
D,2015-09-01T06:26:00,Delta Air Lines,2460,23,3
D,2015-09-01T06:30:00,Southwest Airlines,2939,D4,4
D,2015-09-01T06:30:00,US Airways,1810,A19,4
A,2015-09-01T06:31:00,US Airways,591,B2,4
A,2015-09-01T06:33:00,US Airways Express,5613,B18,4
A,2015-09-01T06:35:00,US Airways,455,A5,4
D,2015-09-01T06:35:00,Southwest Airlines,416,C1,4
A,2015-09-01T06:37:00,American Eagle,5743,B9,4
A,2015-09-01T06:38:00,US Airways Express,2988,B3,4
A,2015-09-01T06:39:00,US Airways,560,A24,4
A,2015-09-01T06:41:00,US Airways,403,A4,4
A,2015-09-01T06:41:00,US Airways,530,A3,4
A,2015-09-01T06:42:00,US Airways Express,2978,B20,4
A,2015-09-01T06:43:00,US Airways,452,A7,4
A,2015-09-01T06:45:00,Southwest Airlines,3148,C9,4
A,2015-09-01T06:45:00,Southwest Airlines,3224,D2,4
A,2015-09-01T06:47:00,US Airways Express,5568,B17,4
D,2015-09-01T06:55:00,Southwest Airlines,1271,D5,4
A,2015-09-01T06:55:00,Southwest Airlines,1991,C4,4
D,2015-09-01T07:00:00,Southwest Airlines,3154,C14,4
D,2015-09-01T07:00:00,US Airways,1856,A6,4
A,2015-09-01T07:00:00,Southwest Airlines,1372,C8,4
D,2015-09-01T07:05:00,Delta Air Lines,1492,16,3
D,2015-09-01T07:05:00,Southwest Airlines,2493,D6,4
D,2015-09-01T07:05:00,Southwest Airlines,2921,D7,4
A,2015-09-01T07:07:00,US Airways,655,A28,4
A,2015-09-01T07:10:00,Southwest Airlines,28,C19,4
A,2015-09-01T07:10:00,US Airways,645,B6,4
D,2015-09-01T07:10:00,United Airlines,1743,3,2
A,2015-09-01T07:13:00,US Airways,697,A20,4
A,2015-09-01T07:15:00,Great Lakes Airlines,3031,D,2
D,2015-09-01T07:15:00,Delta Air Lines,1446,15,3
D,2015-09-01T07:15:00,Delta Connection,4495,18,3
D,2015-09-01T07:15:00,Southwest Airlines,2542,C16,4
