arrive_or_depart,schedule,airline,flight_number,gate,terminal
D,2019-09-01T00:43:00,Frontier Airlines,1426,F2,3
D,2019-09-01T00:50:00,Spirit Airlines,972,2,2
D,2019-09-01T05:35:00,Frontier Airlines,2822,F1,3
D,2019-09-01T06:00:00,Delta Air Lines,1994,F10,3
D,2019-09-01T06:00:00,Delta Air Lines,5809,F9,3
D,2019-09-01T07:39:00,Delta Air Lines,5751,F2,3
D,2019-09-01T08:10:00,Hawaiian Airlines,35,F10A,3
D,2019-09-01T09:00:00,WestJet,1537,B27,4
D,2019-09-01T06:30:00,Delta Air Lines,1537,F7,3
D,2019-09-01T07:10:00,Delta Air Lines,1945,F6,3
D,2019-09-01T07:20:00,Delta Air Lines,909,F8,3
D,2019-09-01T08:00:00,Delta Air Lines,1453,F5,3
D,2019-09-01T10:00:00,Southwest Airlines,52,C3,4
D,2019-09-01T10:10:00,Southwest Airlines,11,C18,4
D,2019-09-01T10:30:00,Southwest Airlines,50,C2,4
D,2019-09-01T10:40:00,Southwest Airlines,200,D3,4
D,2019-09-01T12:35:00,Southwest Airlines,392,D4,4
D,2019-09-01T16:55:00,Southwest Airlines,7,C2,4
D,2019-09-01T06:50:00,Southwest Airlines,3354,D7,4
D,2019-09-01T07:00:00,Southwest Airlines,1344,D3,4
D,2019-09-01T07:50:00,Southwest Airlines,1743,D2,4
D,2019-09-01T07:55:00,Southwest Airlines,1171,C8,4
D,2019-09-01T08:10:00,Southwest Airlines,3259,C2,4
D,2019-09-01T08:15:00,Southwest Airlines,2263,C11,4
D,2019-09-01T08:30:00,Southwest Airlines,3226,C14,4
D,2019-09-01T08:50:00,Southwest Airlines,2187,C12,4
D,2019-09-01T09:10:00,Southwest Airlines,2125,D7,4
D,2019-09-01T09:10:00,Southwest Airlines,2386,D1,4
D,2019-09-01T09:20:00,Southwest Airlines,2164,C9,4
D,2019-09-01T09:20:00,Southwest Airlines,2838,C8,4
D,2019-09-01T09:30:00,Southwest Airlines,2140,D6,4
D,2019-09-01T09:30:00,Southwest Airlines,2172,C6,4
D,2019-09-01T09:45:00,Southwest Airlines,2841,C7,4
D,2019-09-01T10:05:00,Southwest Airlines,2058,D5,4
D,2019-09-01T10:25:00,Southwest Airlines,2573,C8,4
D,2019-09-01T10:30:00,Southwest Airlines,3385,C4,4
D,2019-09-01T10:45:00,Southwest Airlines,2620,C19,4
D,2019-09-01T10:50:00,Southwest Airlines,2721,C12,4
D,2019-09-01T11:10:00,Southwest Airlines,3256,D6,4
D,2019-09-01T11:20:00,Southwest Airlines,1703,D4,4
D,2019-09-01T11:35:00,Southwest Airlines,2708,C7,4
D,2019-09-01T11:35:00,Southwest Airlines,3172,C8,4
D,2019-09-01T11:40:00,Southwest Airlines,1733,C2,4
D,2019-09-01T11:45:00,Southwest Airlines,2638,C3,4
D,2019-09-01T11:45:00,Southwest Airlines,2971,C9,4
D,2019-09-01T11:45:00,Southwest Airlines,3086,D3,4
D,2019-09-01T11:45:00,Southwest Airlines,3364,C14,4
D,2019-09-01T11:50:00,Southwest Airlines,2050,D2,4
D,2019-09-01T11:50:00,Southwest Airlines,2341,C11,4
D,2019-09-01T11:50:00,Southwest Airlines,2452,D8,4
